Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-koj1,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1690205227346,24/07/2023 13:27:07,1690208827346,1,24/07/2023 15:27:07,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,,,,,5,,BEGIN,,,,,
2,1690205240853,24/07/2023 13:27:20,1690208840853,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,read-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
3,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,email-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
4,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,withdraw-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
5,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,access-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
6,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,sharing-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
7,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,Page 1,11q6dt,1,,response,participation-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
8,1690205240854,24/07/2023 13:27:20,1690208840854,1,24/07/2023 15:27:20,135241,8,questionnaire-qh5e,,30835358,BLIND,9155388,,complete,,64be89e7a541a640dc942d68,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1920x1080,1920x937,,Consent form,2,A,,,,,5,,END,,,,,
1,1690205634148,24/07/2023 13:33:54,1690209234148,1,24/07/2023 15:33:54,135241,8,questionnaire-qh5e,,30835491,BLIND,9155442,,complete,,64be8bb77310c0ede34dde20,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x781,,Consent form,2,A,,,,,5,,BEGIN,,,,,
2,1690205656421,24/07/2023 13:34:16,1690209256421,1,24/07/2023 15:34:16,135241,8,questionnaire-qh5e,,30835491,BLIND,9155442,,complete,,64be8bb77310c0ede34dde20,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1600x900,1600x781,,Consent form,2,A,Page 1,11q6dt,1,,response,read-consent,1,,read|email|withdraw|access|sharing|participation,Consent Form,4,object-5
