token,rating-human,specificity1,specificity2,specificity3,wn_type
breathalyzer,4.63,3.0987952340593092,3.100421171387823,2.0,concrete
sushi,4.96,3.0987952340593092,3.100421171387823,2.0,concrete
cheese,4.7,2.8047487927214,2.7797107148415097,2.2857142857142856,concrete
masturbation,4.03,2.9177281134935296,2.902934955812597,2.0,concrete
blacktop,4.65,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
violin,4.96,3.1893287943421993,3.1991642791754358,2.428571428571429,concrete
paprika,5.0,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
windowpane,4.86,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
fuselage,4.79,3.0987952340593092,3.100421171387823,2.0,concrete
vase,5.0,3.1893287943421993,3.1991642791754358,2.2857142857142856,concrete
llama,4.78,3.4609294751908695,3.495393602538275,2.857142857142857,concrete
telecommunication,3.0,2.6545569585210105,2.6158995444036273,2.0,concrete
razorback,3.96,3.732530156039539,3.7916229259011134,3.0,concrete
speeder,3.62,2.9177281134935296,2.902934955812597,1.7142857142857144,concrete
ferret,4.97,3.641996595756649,3.6928798181135005,2.857142857142857,concrete
knitting,4.14,3.0987952340593092,3.100421171387823,2.0,concrete
stream,4.5,2.5139998922145272,2.4625968188220058,1.5714285714285714,concrete
coatroom,4.83,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
tofu,4.86,3.0987952340593092,3.100421171387823,2.0,concrete
sacking,3.23,2.9177281134935296,2.902934955812597,1.8571428571428572,concrete
triceratops,4.11,3.8230637163224293,3.8903660336887262,3.142857142857143,concrete
grater,4.52,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
corkscrew,4.85,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
codfish,4.71,3.008261673776419,3.00167806360021,2.0,concrete
carafe,4.6,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
peephole,4.74,3.008261673776419,3.00167806360021,2.0,concrete
straightedge,4.07,3.2798623546250893,3.297907386963049,2.2857142857142856,concrete
soul,1.86,2.7366609929277494,2.7054487402373715,1.7142857142857144,concrete
suckerfish,4.52,3.5890378579272424,3.63511880285308,3.0,concrete
depot,4.14,2.844635397983901,2.8232142217210034,2.0,concrete
sharkskin,4.77,3.008261673776419,3.00167806360021,1.8571428571428572,concrete
nameplate,4.52,3.008261673776419,3.00167806360021,2.0,concrete
pomegranate,4.86,3.5514630354737595,3.5941367103258877,2.7142857142857144,concrete
furnace,4.69,2.8761341333460875,2.857569249972457,2.2857142857142856,concrete
livestock,4.7,3.4609294751908695,3.495393602538275,2.571428571428571,concrete
popcorn,5.0,3.641996595756649,3.6928798181135005,2.857142857142857,concrete
gadgetry,3.52,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
hardcover,4.69,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
quarters,4.57,2.6892610650133424,2.653750605576941,2.0,concrete
heat,3.79,2.7742358153812323,2.746430832764564,2.0,concrete
pathogen,3.59,3.3703959149079794,3.4865974574547307,2.428571428571429,concrete
knockoff,2.85,3.1893287943421993,3.1991642791754358,2.142857142857143,concrete
woodwind,4.43,2.8493854603063054,2.8283950178189485,2.2857142857142856,concrete
