item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
4,Concrete,A2,costume,4.171842443,noun,7,4.17,4.57,0.86
9,Concrete,A2,crystal,4.162751545,noun,7,7.78,4.58,0.81
11,Concrete,A2,pedal,3.634755503,noun,5,6.5,4.44,0.97
13,Concrete,A1,rook,2.888860325,noun,4,11.59,4.38,1.1
14,Concrete,A2,mink,3.128705017,noun,4,10.32,4.58,0.99
17,Concrete,A1,chalet,3.233554821,noun,6,13.8,4.36,1.19
18,Concrete,A1,hooch,2.451610582,noun,5,13.06,4.22,0.97
21,Concrete,A1,chorus,3.839374961,noun,6,7.5,4.03,1.02
24,Concrete,A2,zit,2.45916372,noun,3,10.89,4.85,0.6
25,Concrete,A2,retina,2.962907455,noun,6,10.76,4.46,0.79
26,Concrete,A2,locker,3.600991775,noun,6,8.22,4.67,1
28,Concrete,A2,redhead,2.851071764,noun,7,5.79,4.78,0.51
30,Concrete,A2,comma,2.813007022,noun,5,7.47,4.65,0.57
37,Concrete,A2,comet,3.570217544,noun,5,8.16,4.67,1.03
38,Concrete,A2,copier,1.737128411,noun,6,8.17,4.72,0.7
40,Concrete,A2,furnace,3.345070585,noun,7,10.6,4.69,0.85
42,Concrete,A2,toy,4.393662171,noun,3,3,4.93,0.38
43,Concrete,A2,fowl,3.432132228,noun,4,7.89,4.64,0.91
50,Concrete,A2,collar,3.977450696,noun,6,6.56,4.64,0.91
52,Concrete,A2,lesion,2.158133724,noun,6,12.82,4.38,1.01
53,Concrete,A2,indoors,3.878150379,noun,7,4.64,4.17,1.05
59,Concrete,A2,wine,4.842080855,noun,4,7.9,4.79,0.5
76,Concrete,A2,aircrew,2.41173907,noun,7,10.15,4.04,1.32
79,Concrete,A2,rider,3.96454763,noun,5,6.37,4.07,1.21
81,Concrete,A2,scab,2.97219753,noun,4,6.65,4.71,0.53
83,Concrete,A2,jasmine,3.694866267,noun,7,10.26,4.55,0.95
91,Concrete,A2,tinsel,3.051761583,noun,6,6.61,4.82,0.48
92,Concrete,A2,dye,3.485316438,noun,3,7.56,4.58,0.76
94,Concrete,A2,perfume,3.935285447,noun,7,7.06,4.66,0.81
95,Concrete,A2,trophy,4.374436161,noun,6,5.55,4.89,0.42
96,Concrete,A2,record,5.11499737,noun,6,6.3,4.15,1.26
101,Concrete,A2,door,5.259750452,noun,4,3.05,4.81,0.65
110,Concrete,A2,riser,2.587830329,noun,5,10.56,4.03,1.32
116,Concrete,A2,euro,4.575519506,noun,4,13.89,4.3,1.23
118,Concrete,A2,coal,4.322589141,noun,4,6.65,4.66,0.86
123,Concrete,A1,bran,2.928731837,noun,4,9.95,4.48,0.99
125,Concrete,A1,saline,3.19404628,noun,6,11.71,4.48,0.94
136,Concrete,A2,crust,3.869795534,noun,5,5.95,4.59,0.75
138,Concrete,A2,patch,4.232420399,noun,5,7.28,4.7,0.54
141,Concrete,A2,dress,4.847258794,noun,5,4.05,4.93,0.26
144,Concrete,A2,vulva,1.899855709,noun,5,13.11,4.5,1.17
146,Concrete,A2,busload,1.871826985,noun,7,7.47,4.12,1.15
147,Concrete,A1,maize,3.10903549,noun,5,9.59,4.58,0.93
148,Concrete,A2,sketch,3.85379652,noun,6,9,4.56,0.7
149,Concrete,A2,ground,5.189751101,noun,6,4.89,4.77,0.57
155,Concrete,A2,floss,3.270923571,noun,5,7.06,4.41,1.08
157,Concrete,A2,spades,3.355651926,noun,6,7.99,4.53,0.9
159,Concrete,A2,leak,3.961496643,noun,4,5.47,4.28,1.14
162,Concrete,A2,risotto,3.733560477,noun,7,16,4.36,1.45
171,Concrete,A2,vampire,3.98016646,noun,7,7.16,4.18,1.36
173,Concrete,A2,egg,4.797035907,noun,3,3.89,4.97,0.18
179,Concrete,A2,rivet,2.822840525,noun,5,12.83,4.5,1
180,Concrete,A2,stitch,3.597194048,noun,6,7.39,4.32,0.77
187,Concrete,A2,analyst,3.482487148,noun,7,11.75,4.23,1.19
194,Concrete,A2,pigment,3.072312683,noun,7,11.06,4.4,0.87
195,Concrete,A1,flour,4.392703367,noun,5,6.89,4.97,0.19
198,Concrete,A2,stone,4.837122781,noun,5,4.44,4.72,0.84
200,Concrete,A2,snorer,1.841863762,noun,6,7.79,4.23,0.99
203,Concrete,A1,lager,3.563792088,noun,5,14,4.64,0.99
204,Concrete,A1,lube,2.172856981,noun,4,12.65,4,1.44
221,Concrete,A2,head,5.60944364,noun,4,3.42,4.75,0.65
225,Concrete,A1,drapery,2.515279662,noun,7,12,4.32,1.06
242,Concrete,A1,parfait,3.198162846,noun,7,10.76,4.68,0.9
244,Concrete,A2,haircut,3.729159482,noun,7,4.05,4.77,0.71
248,Concrete,A1,bowler,3.553670991,noun,6,10.58,4.45,0.95
254,Concrete,A2,deli,3.079551092,noun,4,8.84,4.57,0.84
256,Concrete,A2,garbage,3.449318785,noun,7,4.89,4.69,0.6
265,Concrete,A2,cowhide,1.841863762,noun,7,11.44,4.76,0.64
266,Concrete,A2,quiz,4.573337406,noun,4,7.05,4.43,1
271,Concrete,A2,brim,2.994588803,noun,4,10.68,4.23,1.14
275,Concrete,A2,gypsy,3.591710459,noun,5,8.95,4.45,1.06
278,Concrete,A2,bubble,4.161861597,noun,6,3.79,4.6,0.72
283,Concrete,A1,flare,3.290128277,noun,5,9.84,4.5,0.86
287,Concrete,A2,guava,2.227214643,noun,5,12.39,4.86,0.76
