,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
0,costume,4,concrete,4.171842443,noun,7,4.17,4.57,0.86,anger,4,abstract,4.303726585,noun,5,6,2.41,1.32,
1,crystal,9,concrete,4.162751545,noun,7,7.78,4.58,0.81,minimum,9,abstract,4.388494544,noun,7,8.11,2.25,1.4,
2,pedal,11,concrete,3.634755503,noun,5,6.5,4.44,0.97,anxiety,11,abstract,3.89958419,noun,7,8.17,2.21,1.03,
3,rook,13,concrete,2.888860325,noun,4,11.59,4.38,1.1,gist,13,abstract,2.974489327,noun,4,11.3,1.81,1.02,
4,mink,14,concrete,3.128705017,noun,4,10.32,4.58,0.99,misuse,14,abstract,3.281196456,noun,6,9.68,2.07,1.17,
5,chalet,17,concrete,3.233554821,noun,6,13.8,4.36,1.19,proxy,17,abstract,3.047918244,noun,5,14.88,2.07,1.18,
6,hooch,18,concrete,2.451610582,noun,5,13.06,4.22,0.97,guile,18,abstract,2.659523554,noun,5,13.25,1.88,1.23,x
7,chorus,21,concrete,3.839374961,noun,6,7.5,4.03,1.02,myth,21,abstract,3.948588757,noun,4,8.61,2.17,1.36,
8,zit,24,concrete,2.45916372,noun,3,10.89,4.85,0.6,prude,24,abstract,2.481065561,noun,5,12.11,2.39,1.13,
9,retina,25,concrete,2.962907455,noun,6,10.76,4.46,0.79,stardom,25,abstract,3.138215495,noun,7,10.06,2.26,1.16,
10,locker,26,concrete,3.600991775,noun,6,8.22,4.67,1,agony,26,abstract,3.753781957,noun,5,9.22,2.38,1.47,
11,redhead,28,concrete,2.851071764,noun,7,5.79,4.78,0.51,bummer,28,abstract,2.774916972,noun,6,7.3,1.97,1.1,x
12,comma,30,concrete,2.813007022,noun,5,7.47,4.65,0.57,recount,30,abstract,2.91321967,noun,7,8.84,2.26,1.13,x
13,comet,37,concrete,3.570217544,noun,5,8.16,4.67,1.03,bonkers,37,abstract,3.746888249,noun,7,8.28,1.76,0.97,x
14,copier,38,concrete,1.737128411,noun,6,8.17,4.72,0.7,putdown,38,abstract,1.473886977,noun,7,9.5,2.04,1.37,x
15,furnace,40,concrete,3.345070585,noun,7,10.6,4.69,0.85,setback,40,abstract,3.51396162,noun,7,10.4,1.97,1.13,
