,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract
0,pedal,11,concrete,3.634755503,noun,5,6.5,4.44,0.97,anxiety,11,abstract,3.89958419,noun,7,8.17,2.21,1.03
1,rook,13,concrete,2.888860325,noun,4,11.59,4.38,1.1,gist,13,abstract,2.974489327,noun,4,11.3,1.81,1.02
2,mink,14,concrete,3.128705017,noun,4,10.32,4.58,0.99,misuse,14,abstract,3.281196456,noun,6,9.68,2.07,1.17
3,chalet,17,concrete,3.233554821,noun,6,13.8,4.36,1.19,proxy,17,abstract,3.047918244,noun,5,14.88,2.07,1.18
4,zit,24,concrete,2.45916372,noun,3,10.89,4.85,0.6,prude,24,abstract,2.481065561,noun,5,12.11,2.39,1.13
5,retina,25,concrete,2.962907455,noun,6,10.76,4.46,0.79,stardom,25,abstract,3.138215495,noun,7,10.06,2.26,1.16
6,redhead,28,concrete,2.851071764,noun,7,5.79,4.78,0.51,bummer,28,abstract,2.774916972,noun,6,7.3,1.97,1.1
7,comma,30,concrete,2.813007022,noun,5,7.47,4.65,0.57,recount,30,abstract,2.91321967,noun,7,8.84,2.26,1.13
8,comet,37,concrete,3.570217544,noun,5,8.16,4.67,1.03,bonkers,37,abstract,3.746888249,noun,7,8.28,1.76,0.97
9,furnace,40,concrete,3.345070585,noun,7,10.6,4.69,0.85,setback,40,abstract,3.51396162,noun,7,10.4,1.97,1.13
10,lesion,52,concrete,2.158133724,noun,6,12.82,4.38,1.01,elitism,52,abstract,2.339188403,noun,7,13.87,1.75,0.94
11,indoors,53,concrete,3.878150379,noun,7,4.64,4.17,1.05,honesty,53,abstract,3.832456293,noun,7,5.0,1.59,1.02
12,scab,81,concrete,2.97219753,noun,4,6.65,4.71,0.53,unease,81,abstract,3.120617363,noun,6,8.42,1.93,1.03
13,dye,92,concrete,3.485316438,noun,3,7.56,4.58,0.76,envy,92,abstract,3.63674997,noun,4,8.37,1.69,0.85
14,trophy,95,concrete,4.374436161,noun,6,5.55,4.89,0.42,mood,95,abstract,4.502458229,noun,4,6.58,1.75,0.97
15,coal,118,concrete,4.322589141,noun,4,6.65,4.66,0.86,manner,118,abstract,4.173291058,noun,6,6.83,1.62,0.8
