noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97
anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03
rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1
gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02
mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99
misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17
chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19
proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18
zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6
prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13
retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79
stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16
furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85
setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13
lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01
elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94
indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05
honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02
scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53
unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03
dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76
envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85
trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42
mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97
coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86
manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8
saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94
remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05
dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26
mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0
ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57
times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16
rivet,17,concrete,2.822840525,noun,5,12.83,4.5,1.0
elation,17,abstract,2.976769093,noun,7,11.41,2.08,1.2
stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77
intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91
haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71
sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06
bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95
clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1
deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84
fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19
judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19
folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02
