word,item_nr,condition,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
costume,4,concrete,4.171842443,noun,7,4.17,4.57,0.86
crystal,9,concrete,4.162751545,noun,7,7.78,4.58,0.81
pedal,11,concrete,3.634755503,noun,5,6.5,4.44,0.97
rook,13,concrete,2.888860325,noun,4,11.59,4.38,1.1
mink,14,concrete,3.128705017,noun,4,10.32,4.58,0.99
chalet,17,concrete,3.233554821,noun,6,13.8,4.36,1.19
hooch,18,concrete,2.451610582,noun,5,13.06,4.22,0.97
chorus,21,concrete,3.839374961,noun,6,7.5,4.03,1.02
zit,24,concrete,2.45916372,noun,3,10.89,4.85,0.6
retina,25,concrete,2.962907455,noun,6,10.76,4.46,0.79
locker,26,concrete,3.600991775,noun,6,8.22,4.67,1.0
redhead,28,concrete,2.851071764,noun,7,5.79,4.78,0.51
comma,30,concrete,2.813007022,noun,5,7.47,4.65,0.57
comet,37,concrete,3.570217544,noun,5,8.16,4.67,1.03
copier,38,concrete,1.737128411,noun,6,8.17,4.72,0.7
furnace,40,concrete,3.345070585,noun,7,10.6,4.69,0.85
toy,42,concrete,4.393662171,noun,3,3.0,4.93,0.38
fowl,43,concrete,3.432132228,noun,4,7.89,4.64,0.91
collar,50,concrete,3.977450696,noun,6,6.56,4.64,0.91
lesion,52,concrete,2.158133724,noun,6,12.82,4.38,1.01
indoors,53,concrete,3.878150379,noun,7,4.64,4.17,1.05
wine,59,concrete,4.842080855,noun,4,7.9,4.79,0.5
aircrew,76,concrete,2.41173907,noun,7,10.15,4.04,1.32
rider,79,concrete,3.96454763,noun,5,6.37,4.07,1.21
scab,81,concrete,2.97219753,noun,4,6.65,4.71,0.53
jasmine,83,concrete,3.694866267,noun,7,10.26,4.55,0.95
tinsel,91,concrete,3.051761583,noun,6,6.61,4.82,0.48
dye,92,concrete,3.485316438,noun,3,7.56,4.58,0.76
perfume,94,concrete,3.935285447,noun,7,7.06,4.66,0.81
trophy,95,concrete,4.374436161,noun,6,5.55,4.89,0.42
record,96,concrete,5.11499737,noun,6,6.3,4.15,1.26
door,101,concrete,5.259750452,noun,4,3.05,4.81,0.65
riser,110,concrete,2.587830329,noun,5,10.56,4.03,1.32
euro,116,concrete,4.575519506,noun,4,13.89,4.3,1.23
coal,118,concrete,4.322589141,noun,4,6.65,4.66,0.86
bran,123,concrete,2.928731837,noun,4,9.95,4.48,0.99
saline,125,concrete,3.19404628,noun,6,11.71,4.48,0.94
crust,136,concrete,3.869795534,noun,5,5.95,4.59,0.75
patch,138,concrete,4.232420399,noun,5,7.28,4.7,0.54
dress,141,concrete,4.847258794,noun,5,4.05,4.93,0.26
vulva,144,concrete,1.899855709,noun,5,13.11,4.5,1.17
busload,146,concrete,1.871826985,noun,7,7.47,4.12,1.15
maize,147,concrete,3.10903549,noun,5,9.59,4.58,0.93
sketch,148,concrete,3.85379652,noun,6,9.0,4.56,0.7
ground,149,concrete,5.189751101,noun,6,4.89,4.77,0.57
floss,155,concrete,3.270923571,noun,5,7.06,4.41,1.08
spades,157,concrete,3.355651926,noun,6,7.99,4.53,0.9
leak,159,concrete,3.961496643,noun,4,5.47,4.28,1.14
risotto,162,concrete,3.733560477,noun,7,16.0,4.36,1.45
vampire,171,concrete,3.98016646,noun,7,7.16,4.18,1.36
egg,173,concrete,4.797035907,noun,3,3.89,4.97,0.18
rivet,179,concrete,2.822840525,noun,5,12.83,4.5,1.0
stitch,180,concrete,3.597194048,noun,6,7.39,4.32,0.77
analyst,187,concrete,3.482487148,noun,7,11.75,4.23,1.19
pigment,194,concrete,3.072312683,noun,7,11.06,4.4,0.87
flour,195,concrete,4.392703367,noun,5,6.89,4.97,0.19
stone,198,concrete,4.837122781,noun,5,4.44,4.72,0.84
snorer,200,concrete,1.841863762,noun,6,7.79,4.23,0.99
lager,203,concrete,3.563792088,noun,5,14.0,4.64,0.99
lube,204,concrete,2.172856981,noun,4,12.65,4.0,1.44
head,221,concrete,5.60944364,noun,4,3.42,4.75,0.65
drapery,225,concrete,2.515279662,noun,7,12.0,4.32,1.06
parfait,242,concrete,3.198162846,noun,7,10.76,4.68,0.9
haircut,244,concrete,3.729159482,noun,7,4.05,4.77,0.71
bowler,248,concrete,3.553670991,noun,6,10.58,4.45,0.95
deli,254,concrete,3.079551092,noun,4,8.84,4.57,0.84
garbage,256,concrete,3.449318785,noun,7,4.89,4.69,0.6
cowhide,265,concrete,1.841863762,noun,7,11.44,4.76,0.64
quiz,266,concrete,4.573337406,noun,4,7.05,4.43,1.0
brim,271,concrete,2.994588803,noun,4,10.68,4.23,1.14
gypsy,275,concrete,3.591710459,noun,5,8.95,4.45,1.06
bubble,278,concrete,4.161861597,noun,6,3.79,4.6,0.72
flare,283,concrete,3.290128277,noun,5,9.84,4.5,0.86
guava,287,concrete,2.227214643,noun,5,12.39,4.86,0.76
judo,289,concrete,3.293430912,noun,4,10.67,4.32,1.19
thorax,294,concrete,2.540833766,noun,6,11.31,4.56,1.0
parsnip,297,concrete,3.267444558,noun,7,10.75,4.85,0.77
wound,298,concrete,4.102956619,noun,5,7.52,4.24,0.78
maze,300,concrete,3.688730825,noun,4,7.11,4.45,0.95
citizen,314,concrete,3.88522604,noun,7,7.74,4.43,1.01
tibia,315,concrete,2.760193715,noun,5,12.12,4.48,1.16
smile,316,concrete,4.712518439,noun,5,3.51,4.5,0.75
pint,322,concrete,4.143668592,noun,4,8.37,4.43,0.84
mesh,336,concrete,3.270923571,noun,4,9.89,4.41,0.95
cricket,337,concrete,4.452219691,noun,7,7.72,4.77,0.68
mascara,338,concrete,3.051761583,noun,7,9.21,4.93,0.26
rifle,342,concrete,3.618461184,noun,5,7.85,4.85,0.46
cookout,354,concrete,1.540833766,noun,7,7.42,4.25,1.11
kick,358,concrete,4.908429269,noun,4,4.06,4.33,0.98
notch,366,concrete,3.57079699,noun,5,8.47,4.23,0.91
planet,369,concrete,4.659995356,noun,6,6.67,4.58,1.14
boa,377,concrete,3.136644808,noun,3,9.56,4.92,0.28
lagoon,378,concrete,3.26040179,noun,6,9.42,4.5,0.94
bowel,380,concrete,3.470981986,noun,5,9.72,4.53,0.68
lark,382,concrete,3.521810529,noun,4,11.82,4.28,1.31
spa,383,concrete,3.790556107,noun,3,11.06,4.67,0.92
gavel,392,concrete,3.528882838,noun,5,9.22,4.88,0.43
footman,393,concrete,2.725119504,noun,7,11.59,4.55,0.87
boat,395,concrete,4.886235506,noun,4,3.84,4.93,0.37
fritter,397,concrete,2.767617734,noun,7,13.0,4.11,1.5
bunny,405,concrete,3.890804723,noun,5,4.5,4.97,0.19
manor,406,concrete,3.924136085,noun,5,9.55,4.7,0.61
knuckle,409,concrete,3.364121643,noun,7,5.94,4.93,0.26
pretzel,412,concrete,2.376976964,noun,7,5.0,4.74,0.86
mussel,414,concrete,3.253242928,noun,6,10.0,4.69,0.76
pageant,415,concrete,3.371514068,noun,7,10.0,4.0,1.2
ricotta,417,concrete,3.098856247,noun,7,12.67,4.86,0.52
shroud,425,concrete,2.838750526,noun,6,11.65,4.34,1.17
archway,431,concrete,3.059347706,noun,7,10.06,4.28,1.31
mulch,438,concrete,2.854098218,noun,5,9.22,4.59,1.05
serum,441,concrete,2.57079699,noun,5,10.22,4.27,1.17
satin,442,concrete,3.12709949,noun,5,10.37,4.57,0.94
grave,444,concrete,4.198162846,noun,5,7.06,4.56,0.8
hemp,459,concrete,2.620015012,noun,4,12.94,4.85,0.46
pendant,462,concrete,3.457663565,noun,7,10.3,4.75,0.59
dragon,463,concrete,4.276888618,noun,6,5.58,4.39,1.03
gecko,464,concrete,3.077752769,noun,5,10.32,4.76,0.72
crypt,465,concrete,2.871826985,noun,5,10.68,4.75,0.61
rotator,468,concrete,1.974489327,noun,7,13.5,4.45,0.78
shrew,474,concrete,3.168492176,noun,5,11.82,4.07,1.27
wink,476,concrete,3.456911539,noun,4,7.65,4.23,1.03
author,482,concrete,4.233554821,noun,6,7.1,4.26,1.1
wiper,492,concrete,2.678006959,noun,5,8.37,4.56,0.89
giblet,493,concrete,1.951008231,noun,6,11.72,4.62,0.8
gamer,495,concrete,2.451610582,noun,5,11.65,4.0,0.92
kelp,501,concrete,3.180035566,noun,4,10.22,4.9,0.56
scale,503,concrete,4.715225889,noun,5,8.85,4.39,0.83
galley,514,concrete,3.164083057,noun,6,12.69,4.07,1.54
buttock,516,concrete,2.553068223,noun,7,10.44,4.79,0.63
scuba,522,concrete,3.202240759,noun,5,7.6,4.23,0.82
goose,527,concrete,4.027770003,noun,5,5.15,4.81,0.65
clone,531,concrete,3.03219546,noun,5,8.89,4.34,0.86
nylon,533,concrete,3.100569443,noun,5,10.0,4.7,0.82
limo,534,concrete,3.245964079,noun,4,8.42,4.7,0.79
toolkit,538,concrete,2.521810529,noun,7,7.83,4.76,0.69
glass,539,concrete,4.918894069,noun,5,4.47,4.82,0.48
beacon,544,concrete,3.433723053,noun,6,11.37,4.38,0.86
worker,546,concrete,4.28097079,noun,6,6.67,4.59,0.73
