,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
0,pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97,subsective,old,old pedal
1,pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97,privative,imaginary,imaginary pedal
3,anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03,subsective,special,special anxiety
4,anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03,privative,past,past anxiety
6,rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1,subsective,special,special rook
7,rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1,privative,past,past rook
9,gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02,subsective,true,true gist
10,gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02,privative,phony,phony gist
12,mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99,subsective,average,average mink
13,mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99,privative,fabricated,fabricated mink
15,misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17,subsective,important,important misuse
16,misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17,privative,former,former misuse
18,chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19,subsective,current,current chalet
19,chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19,privative,false,false chalet
21,proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18,subsective,important,important proxy
22,proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18,privative,former,former proxy
24,zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6,subsective,special,special zit
25,zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6,privative,past,past zit
27,prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13,subsective,new,new prude
28,prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13,privative,hypothetical,hypothetical prude
30,retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79,subsective,actual,actual retina
31,retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79,privative,artificial,artificial retina
33,stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16,subsective,unique,unique stardom
34,stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16,privative,virtual,virtual stardom
36,furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85,subsective,unique,unique furnace
37,furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85,privative,virtual,virtual furnace
39,setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13,subsective,unique,unique setback
40,setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13,privative,virtual,virtual setback
42,lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01,subsective,important,important lesion
43,lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01,privative,former,former lesion
45,elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94,subsective,average,average elitism
46,elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94,privative,fabricated,fabricated elitism
48,indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05,subsective,true,true indoors
49,indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05,privative,phony,phony indoors
51,honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02,subsective,genuine,genuine honesty
52,honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02,privative,fictional,fictional honesty
54,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,subsective,average,average scab
55,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,privative,fabricated,fabricated scab
57,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,subsective,good,good unease
58,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,privative,fictitious,fictitious unease
60,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,subsective,actual,actual dye
61,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,privative,artificial,artificial dye
63,envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85,subsective,genuine,genuine envy
64,envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85,privative,fictional,fictional envy
66,trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42,subsective,typical,typical trophy
67,trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42,privative,spurious,spurious trophy
69,mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97,subsective,bad,bad mood
70,mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97,privative,fake,fake mood
72,coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86,subsective,authentic,authentic coal
73,coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86,privative,counterfeit,counterfeit coal
75,manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8,subsective,actual,actual manner
76,manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8,privative,artificial,artificial manner
78,saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94,subsective,typical,typical saline
79,saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94,privative,spurious,spurious saline
81,remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05,subsective,bad,bad remorse
82,remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05,privative,fake,fake remorse
84,dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26,subsective,unique,unique dress
85,dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26,privative,virtual,virtual dress
87,mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0,subsective,typical,typical mistake
88,mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0,privative,spurious,spurious mistake
90,ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57,subsective,special,special ground
91,ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57,privative,past,past ground
93,times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16,subsective,bad,bad times
94,times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16,privative,fake,fake times
