noun,concreteness,adjective,denotation,phrase,frequency_dep,frequency_seq
anger,abstract,actual,subsective,actual anger,0.0,0.0
anger,abstract,authentic,subsective,authentic anger,0.0,0.0
anger,abstract,average,subsective,average anger,0.0,0.0
anger,abstract,bad,subsective,bad anger,0.0,0.0
anger,abstract,current,subsective,current anger,0.0,0.0
anger,abstract,genuine,subsective,genuine anger,0.0,0.0
anger,abstract,good,subsective,good anger,0.0,0.0
anger,abstract,important,subsective,important anger,0.0,0.0
anger,abstract,new,subsective,new anger,0.0,0.0
anger,abstract,old,subsective,old anger,0.0,0.0
anger,abstract,perfect,subsective,perfect anger,0.0,0.0
anger,abstract,real,subsective,real anger,0.0,0.0
anger,abstract,special,subsective,special anger,0.0,0.0
anger,abstract,true,subsective,true anger,0.0,0.0
anger,abstract,typical,subsective,typical anger,0.0,0.0
anger,abstract,unique,subsective,unique anger,0.0,0.0
anger,abstract,artificial,privative,artificial anger,0.0,0.0
anger,abstract,counterfeit,privative,counterfeit anger,0.0,0.0
anger,abstract,fabricated,privative,fabricated anger,0.0,0.0
anger,abstract,fake,privative,fake anger,0.0,0.0
anger,abstract,false,privative,false anger,0.0,0.0
anger,abstract,fictional,privative,fictional anger,0.0,0.0
anger,abstract,fictitious,privative,fictitious anger,0.0,0.0
anger,abstract,former,privative,former anger,0.0,0.0
anger,abstract,hypothetical,privative,hypothetical anger,0.0,0.0
anger,abstract,imaginary,privative,imaginary anger,0.0,0.0
anger,abstract,mock,privative,mock anger,0.0,0.0
anger,abstract,mythical,privative,mythical anger,0.0,0.0
anger,abstract,past,privative,past anger,0.0,0.0
anger,abstract,phony,privative,phony anger,0.0,0.0
anger,abstract,spurious,privative,spurious anger,0.0,0.0
anger,abstract,virtual,privative,virtual anger,0.0,0.0
minimum,abstract,actual,subsective,actual minimum,0.0,0.0
minimum,abstract,authentic,subsective,authentic minimum,0.0,0.0
minimum,abstract,average,subsective,average minimum,0.0,0.0
minimum,abstract,bad,subsective,bad minimum,0.0,0.0
minimum,abstract,current,subsective,current minimum,0.0,0.0
minimum,abstract,genuine,subsective,genuine minimum,0.0,0.0
minimum,abstract,good,subsective,good minimum,0.0,0.0
minimum,abstract,important,subsective,important minimum,0.0,0.0
minimum,abstract,new,subsective,new minimum,0.0,0.0
minimum,abstract,old,subsective,old minimum,0.0,0.0
minimum,abstract,perfect,subsective,perfect minimum,0.0,0.0
minimum,abstract,real,subsective,real minimum,0.0,0.0
minimum,abstract,special,subsective,special minimum,0.0,0.0
minimum,abstract,true,subsective,true minimum,0.0,0.0
minimum,abstract,typical,subsective,typical minimum,0.0,0.0
minimum,abstract,unique,subsective,unique minimum,0.0,0.0
minimum,abstract,artificial,privative,artificial minimum,0.0,0.0
minimum,abstract,counterfeit,privative,counterfeit minimum,0.0,0.0
minimum,abstract,fabricated,privative,fabricated minimum,0.0,0.0
minimum,abstract,fake,privative,fake minimum,0.0,0.0
minimum,abstract,false,privative,false minimum,0.0,0.0
minimum,abstract,fictional,privative,fictional minimum,0.0,0.0
minimum,abstract,fictitious,privative,fictitious minimum,0.0,0.0
minimum,abstract,former,privative,former minimum,0.0,0.0
minimum,abstract,hypothetical,privative,hypothetical minimum,0.0,0.0
minimum,abstract,imaginary,privative,imaginary minimum,0.0,0.0
minimum,abstract,mock,privative,mock minimum,0.0,0.0
minimum,abstract,mythical,privative,mythical minimum,0.0,0.0
minimum,abstract,past,privative,past minimum,0.0,0.0
minimum,abstract,phony,privative,phony minimum,0.0,0.0
minimum,abstract,spurious,privative,spurious minimum,0.0,0.0
minimum,abstract,virtual,privative,virtual minimum,0.0,0.0
anxiety,abstract,actual,subsective,actual anxiety,0.0,0.0
anxiety,abstract,authentic,subsective,authentic anxiety,0.0,0.0
anxiety,abstract,average,subsective,average anxiety,0.0,0.0
anxiety,abstract,bad,subsective,bad anxiety,0.0,0.0
anxiety,abstract,current,subsective,current anxiety,0.0,0.0
anxiety,abstract,genuine,subsective,genuine anxiety,0.0,0.0
anxiety,abstract,good,subsective,good anxiety,0.0,0.0
anxiety,abstract,important,subsective,important anxiety,0.0,0.0
anxiety,abstract,new,subsective,new anxiety,0.0,0.0
anxiety,abstract,old,subsective,old anxiety,0.0,0.0
anxiety,abstract,perfect,subsective,perfect anxiety,0.0,0.0
anxiety,abstract,real,subsective,real anxiety,0.0,0.0
anxiety,abstract,special,subsective,special anxiety,0.0,0.0
anxiety,abstract,true,subsective,true anxiety,0.0,0.0
anxiety,abstract,typical,subsective,typical anxiety,0.0,0.0
anxiety,abstract,unique,subsective,unique anxiety,0.0,0.0
anxiety,abstract,artificial,privative,artificial anxiety,0.0,0.0
anxiety,abstract,counterfeit,privative,counterfeit anxiety,0.0,0.0
anxiety,abstract,fabricated,privative,fabricated anxiety,0.0,0.0
anxiety,abstract,fake,privative,fake anxiety,0.0,0.0
anxiety,abstract,false,privative,false anxiety,0.0,0.0
anxiety,abstract,fictional,privative,fictional anxiety,0.0,0.0
anxiety,abstract,fictitious,privative,fictitious anxiety,0.0,0.0
anxiety,abstract,former,privative,former anxiety,0.0,0.0
anxiety,abstract,hypothetical,privative,hypothetical anxiety,0.0,0.0
anxiety,abstract,imaginary,privative,imaginary anxiety,0.0,0.0
anxiety,abstract,mock,privative,mock anxiety,0.0,0.0
anxiety,abstract,mythical,privative,mythical anxiety,0.0,0.0
anxiety,abstract,past,privative,past anxiety,0.0,0.0
anxiety,abstract,phony,privative,phony anxiety,0.0,0.0
anxiety,abstract,spurious,privative,spurious anxiety,0.0,0.0
anxiety,abstract,virtual,privative,virtual anxiety,0.0,0.0
gist,abstract,actual,subsective,actual gist,0.0,0.0
gist,abstract,authentic,subsective,authentic gist,0.0,0.0
gist,abstract,average,subsective,average gist,0.0,0.0
gist,abstract,bad,subsective,bad gist,0.0,0.0
gist,abstract,current,subsective,current gist,0.0,0.0
gist,abstract,genuine,subsective,genuine gist,0.0,0.0
gist,abstract,good,subsective,good gist,0.0,0.0
gist,abstract,important,subsective,important gist,0.0,0.0
gist,abstract,new,subsective,new gist,0.0,0.0
gist,abstract,old,subsective,old gist,0.0,0.0
gist,abstract,perfect,subsective,perfect gist,0.0,0.0
gist,abstract,real,subsective,real gist,0.0,0.0
gist,abstract,special,subsective,special gist,0.0,0.0
gist,abstract,true,subsective,true gist,0.0,0.0
gist,abstract,typical,subsective,typical gist,0.0,0.0
gist,abstract,unique,subsective,unique gist,0.0,0.0
gist,abstract,artificial,privative,artificial gist,0.0,0.0
gist,abstract,counterfeit,privative,counterfeit gist,0.0,0.0
gist,abstract,fabricated,privative,fabricated gist,0.0,0.0
gist,abstract,fake,privative,fake gist,0.0,0.0
gist,abstract,false,privative,false gist,0.0,0.0
gist,abstract,fictional,privative,fictional gist,0.0,0.0
gist,abstract,fictitious,privative,fictitious gist,0.0,0.0
gist,abstract,former,privative,former gist,0.0,0.0
gist,abstract,hypothetical,privative,hypothetical gist,0.0,0.0
gist,abstract,imaginary,privative,imaginary gist,0.0,0.0
gist,abstract,mock,privative,mock gist,0.0,0.0
gist,abstract,mythical,privative,mythical gist,0.0,0.0
gist,abstract,past,privative,past gist,0.0,0.0
gist,abstract,phony,privative,phony gist,0.0,0.0
gist,abstract,spurious,privative,spurious gist,0.0,0.0
gist,abstract,virtual,privative,virtual gist,0.0,0.0
misuse,abstract,actual,subsective,actual misuse,2.0579703932299016e-09,1.6683635367101032e-09
misuse,abstract,authentic,subsective,authentic misuse,0.0,0.0
misuse,abstract,average,subsective,average misuse,2.9181307356603205e-11,0.0
misuse,abstract,bad,subsective,bad misuse,1.5551139473715155e-10,8.754389574339755e-11
misuse,abstract,current,subsective,current misuse,1.1892177284569613e-09,1.0121065739135217e-09
misuse,abstract,genuine,subsective,genuine misuse,4.9227318292419026e-11,2.7720206703615272e-11
misuse,abstract,good,subsective,good misuse,5.986431085773e-11,0.0
misuse,abstract,important,subsective,important misuse,1.3526875200261779e-10,7.238243341324784e-11
misuse,abstract,new,subsective,new misuse,2.3036139886284767e-10,2.5919896850411035e-10
misuse,abstract,old,subsective,old misuse,2.3556386129946444e-10,6.937256260766866e-11
misuse,abstract,perfect,subsective,perfect misuse,0.0,0.0
misuse,abstract,real,subsective,real misuse,2.555609364343014e-10,2.145158925254826e-10
misuse,abstract,special,subsective,special misuse,5.309842110290758e-11,3.647109319719308e-11
misuse,abstract,true,subsective,true misuse,4.845150773949505e-11,3.1594769755325666e-11
misuse,abstract,typical,subsective,typical misuse,2.363763206485353e-10,2.1221203466737015e-10
misuse,abstract,unique,subsective,unique misuse,0.0,0.0
misuse,abstract,artificial,privative,artificial misuse,0.0,0.0
misuse,abstract,counterfeit,privative,counterfeit misuse,0.0,0.0
misuse,abstract,fabricated,privative,fabricated misuse,0.0,0.0
misuse,abstract,fake,privative,fake misuse,0.0,0.0
misuse,abstract,false,privative,false misuse,7.304554465246325e-11,0.0
misuse,abstract,fictional,privative,fictional misuse,0.0,0.0
misuse,abstract,fictitious,privative,fictitious misuse,0.0,0.0
misuse,abstract,former,privative,former misuse,1.7835573319860015e-10,1.441525720814775e-10
misuse,abstract,hypothetical,privative,hypothetical misuse,3.38764858027989e-11,3.826073909802088e-11
misuse,abstract,imaginary,privative,imaginary misuse,0.0,0.0
