noun,condition,adjective,phrase
costume,concrete,good,good costume
costume,concrete,recent,recent costume
costume,concrete,typical,typical costume
costume,concrete,possible,possible costume
costume,concrete,alleged,alleged costume
costume,concrete,dubious,dubious costume
crystal,concrete,good,good crystal
crystal,concrete,recent,recent crystal
crystal,concrete,typical,typical crystal
crystal,concrete,possible,possible crystal
crystal,concrete,alleged,alleged crystal
crystal,concrete,dubious,dubious crystal
pedal,concrete,good,good pedal
pedal,concrete,recent,recent pedal
pedal,concrete,typical,typical pedal
pedal,concrete,possible,possible pedal
pedal,concrete,alleged,alleged pedal
pedal,concrete,dubious,dubious pedal
rook,concrete,good,good rook
rook,concrete,recent,recent rook
rook,concrete,typical,typical rook
rook,concrete,possible,possible rook
rook,concrete,alleged,alleged rook
rook,concrete,dubious,dubious rook
mink,concrete,good,good mink
mink,concrete,recent,recent mink
mink,concrete,typical,typical mink
mink,concrete,possible,possible mink
mink,concrete,alleged,alleged mink
mink,concrete,dubious,dubious mink
chalet,concrete,good,good chalet
chalet,concrete,recent,recent chalet
chalet,concrete,typical,typical chalet
chalet,concrete,possible,possible chalet
chalet,concrete,alleged,alleged chalet
chalet,concrete,dubious,dubious chalet
hooch,concrete,good,good hooch
hooch,concrete,recent,recent hooch
hooch,concrete,typical,typical hooch
hooch,concrete,possible,possible hooch
hooch,concrete,alleged,alleged hooch
hooch,concrete,dubious,dubious hooch
chorus,concrete,good,good chorus
chorus,concrete,recent,recent chorus
chorus,concrete,typical,typical chorus
chorus,concrete,possible,possible chorus
chorus,concrete,alleged,alleged chorus
chorus,concrete,dubious,dubious chorus
zit,concrete,good,good zit
zit,concrete,recent,recent zit
zit,concrete,typical,typical zit
zit,concrete,possible,possible zit
zit,concrete,alleged,alleged zit
zit,concrete,dubious,dubious zit
retina,concrete,good,good retina
retina,concrete,recent,recent retina
retina,concrete,typical,typical retina
retina,concrete,possible,possible retina
retina,concrete,alleged,alleged retina
retina,concrete,dubious,dubious retina
locker,concrete,good,good locker
locker,concrete,recent,recent locker
locker,concrete,typical,typical locker
locker,concrete,possible,possible locker
locker,concrete,alleged,alleged locker
locker,concrete,dubious,dubious locker
redhead,concrete,good,good redhead
redhead,concrete,recent,recent redhead
redhead,concrete,typical,typical redhead
redhead,concrete,possible,possible redhead
redhead,concrete,alleged,alleged redhead
redhead,concrete,dubious,dubious redhead
comma,concrete,good,good comma
comma,concrete,recent,recent comma
comma,concrete,typical,typical comma
comma,concrete,possible,possible comma
comma,concrete,alleged,alleged comma
comma,concrete,dubious,dubious comma
comet,concrete,good,good comet
comet,concrete,recent,recent comet
comet,concrete,typical,typical comet
comet,concrete,possible,possible comet
comet,concrete,alleged,alleged comet
comet,concrete,dubious,dubious comet
copier,concrete,good,good copier
copier,concrete,recent,recent copier
copier,concrete,typical,typical copier
copier,concrete,possible,possible copier
copier,concrete,alleged,alleged copier
copier,concrete,dubious,dubious copier
furnace,concrete,good,good furnace
furnace,concrete,recent,recent furnace
furnace,concrete,typical,typical furnace
furnace,concrete,possible,possible furnace
furnace,concrete,alleged,alleged furnace
furnace,concrete,dubious,dubious furnace
toy,concrete,good,good toy
toy,concrete,recent,recent toy
toy,concrete,typical,typical toy
toy,concrete,possible,possible toy
toy,concrete,alleged,alleged toy
toy,concrete,dubious,dubious toy
fowl,concrete,good,good fowl
fowl,concrete,recent,recent fowl
fowl,concrete,typical,typical fowl
fowl,concrete,possible,possible fowl
fowl,concrete,alleged,alleged fowl
fowl,concrete,dubious,dubious fowl
collar,concrete,good,good collar
collar,concrete,recent,recent collar
collar,concrete,typical,typical collar
collar,concrete,possible,possible collar
collar,concrete,alleged,alleged collar
collar,concrete,dubious,dubious collar
lesion,concrete,good,good lesion
lesion,concrete,recent,recent lesion
lesion,concrete,typical,typical lesion
lesion,concrete,possible,possible lesion
lesion,concrete,alleged,alleged lesion
lesion,concrete,dubious,dubious lesion
indoors,concrete,good,good indoors
indoors,concrete,recent,recent indoors
indoors,concrete,typical,typical indoors
indoors,concrete,possible,possible indoors
indoors,concrete,alleged,alleged indoors
indoors,concrete,dubious,dubious indoors
wine,concrete,good,good wine
wine,concrete,recent,recent wine
wine,concrete,typical,typical wine
wine,concrete,possible,possible wine
wine,concrete,alleged,alleged wine
wine,concrete,dubious,dubious wine
aircrew,concrete,good,good aircrew
aircrew,concrete,recent,recent aircrew
aircrew,concrete,typical,typical aircrew
aircrew,concrete,possible,possible aircrew
aircrew,concrete,alleged,alleged aircrew
aircrew,concrete,dubious,dubious aircrew
rider,concrete,good,good rider
rider,concrete,recent,recent rider
rider,concrete,typical,typical rider
rider,concrete,possible,possible rider
rider,concrete,alleged,alleged rider
rider,concrete,dubious,dubious rider
scab,concrete,good,good scab
scab,concrete,recent,recent scab
scab,concrete,typical,typical scab
scab,concrete,possible,possible scab
scab,concrete,alleged,alleged scab
scab,concrete,dubious,dubious scab
jasmine,concrete,good,good jasmine
jasmine,concrete,recent,recent jasmine
jasmine,concrete,typical,typical jasmine
jasmine,concrete,possible,possible jasmine
jasmine,concrete,alleged,alleged jasmine
jasmine,concrete,dubious,dubious jasmine
tinsel,concrete,good,good tinsel
tinsel,concrete,recent,recent tinsel
tinsel,concrete,typical,typical tinsel
tinsel,concrete,possible,possible tinsel
tinsel,concrete,alleged,alleged tinsel
tinsel,concrete,dubious,dubious tinsel
dye,concrete,good,good dye
dye,concrete,recent,recent dye
dye,concrete,typical,typical dye
dye,concrete,possible,possible dye
dye,concrete,alleged,alleged dye
dye,concrete,dubious,dubious dye
perfume,concrete,good,good perfume
perfume,concrete,recent,recent perfume
perfume,concrete,typical,typical perfume
perfume,concrete,possible,possible perfume
perfume,concrete,alleged,alleged perfume
perfume,concrete,dubious,dubious perfume
trophy,concrete,good,good trophy
trophy,concrete,recent,recent trophy
trophy,concrete,typical,typical trophy
trophy,concrete,possible,possible trophy
trophy,concrete,alleged,alleged trophy
trophy,concrete,dubious,dubious trophy
record,concrete,good,good record
record,concrete,recent,recent record
record,concrete,typical,typical record
record,concrete,possible,possible record
record,concrete,alleged,alleged record
record,concrete,dubious,dubious record
door,concrete,good,good door
door,concrete,recent,recent door
door,concrete,typical,typical door
door,concrete,possible,possible door
door,concrete,alleged,alleged door
door,concrete,dubious,dubious door
riser,concrete,good,good riser
riser,concrete,recent,recent riser
riser,concrete,typical,typical riser
riser,concrete,possible,possible riser
riser,concrete,alleged,alleged riser
riser,concrete,dubious,dubious riser
euro,concrete,good,good euro
euro,concrete,recent,recent euro
euro,concrete,typical,typical euro
euro,concrete,possible,possible euro
euro,concrete,alleged,alleged euro
euro,concrete,dubious,dubious euro
coal,concrete,good,good coal
coal,concrete,recent,recent coal
coal,concrete,typical,typical coal
coal,concrete,possible,possible coal
coal,concrete,alleged,alleged coal
coal,concrete,dubious,dubious coal
bran,concrete,good,good bran
bran,concrete,recent,recent bran
bran,concrete,typical,typical bran
bran,concrete,possible,possible bran
bran,concrete,alleged,alleged bran
bran,concrete,dubious,dubious bran
saline,concrete,good,good saline
saline,concrete,recent,recent saline
saline,concrete,typical,typical saline
saline,concrete,possible,possible saline
saline,concrete,alleged,alleged saline
saline,concrete,dubious,dubious saline
crust,concrete,good,good crust
crust,concrete,recent,recent crust
crust,concrete,typical,typical crust
crust,concrete,possible,possible crust
crust,concrete,alleged,alleged crust
crust,concrete,dubious,dubious crust
patch,concrete,good,good patch
patch,concrete,recent,recent patch
patch,concrete,typical,typical patch
patch,concrete,possible,possible patch
patch,concrete,alleged,alleged patch
patch,concrete,dubious,dubious patch
dress,concrete,good,good dress
dress,concrete,recent,recent dress
dress,concrete,typical,typical dress
dress,concrete,possible,possible dress
dress,concrete,alleged,alleged dress
dress,concrete,dubious,dubious dress
vulva,concrete,good,good vulva
vulva,concrete,recent,recent vulva
vulva,concrete,typical,typical vulva
vulva,concrete,possible,possible vulva
vulva,concrete,alleged,alleged vulva
vulva,concrete,dubious,dubious vulva
busload,concrete,good,good busload
busload,concrete,recent,recent busload
busload,concrete,typical,typical busload
busload,concrete,possible,possible busload
busload,concrete,alleged,alleged busload
busload,concrete,dubious,dubious busload
maize,concrete,good,good maize
maize,concrete,recent,recent maize
maize,concrete,typical,typical maize
maize,concrete,possible,possible maize
maize,concrete,alleged,alleged maize
maize,concrete,dubious,dubious maize
sketch,concrete,good,good sketch
sketch,concrete,recent,recent sketch
sketch,concrete,typical,typical sketch
sketch,concrete,possible,possible sketch
sketch,concrete,alleged,alleged sketch
sketch,concrete,dubious,dubious sketch
ground,concrete,good,good ground
ground,concrete,recent,recent ground
ground,concrete,typical,typical ground
ground,concrete,possible,possible ground
ground,concrete,alleged,alleged ground
ground,concrete,dubious,dubious ground
floss,concrete,good,good floss
floss,concrete,recent,recent floss
floss,concrete,typical,typical floss
floss,concrete,possible,possible floss
floss,concrete,alleged,alleged floss
floss,concrete,dubious,dubious floss
spades,concrete,good,good spades
spades,concrete,recent,recent spades
spades,concrete,typical,typical spades
spades,concrete,possible,possible spades
spades,concrete,alleged,alleged spades
spades,concrete,dubious,dubious spades
leak,concrete,good,good leak
leak,concrete,recent,recent leak
leak,concrete,typical,typical leak
leak,concrete,possible,possible leak
leak,concrete,alleged,alleged leak
leak,concrete,dubious,dubious leak
risotto,concrete,good,good risotto
risotto,concrete,recent,recent risotto
risotto,concrete,typical,typical risotto
risotto,concrete,possible,possible risotto
risotto,concrete,alleged,alleged risotto
risotto,concrete,dubious,dubious risotto
vampire,concrete,good,good vampire
