"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
1,"Abstract","A2","phrasing",2.673459331,"noun",8,11.62,1.93
1,"Concrete","A2","seaport",2.598825713,"noun",7,10.74,4.57
2,"Abstract","A2","honesty",3.832456293,"noun",7,5,1.59
2,"Concrete","A2","chick",3.958186816,"noun",5,5.53,4.93
3,"Abstract","A2","gladness",2.428129486,"noun",8,8,1.96
3,"Concrete","A2","kickoff",2.252038227,"noun",7,8.84,4.41
4,"Abstract","A2","risk",4.984833925,"noun",4,7.58,1.63
4,"Concrete","A2","track",4.903504696,"noun",5,6.94,4.31
5,"Abstract","A1","fascinate",2.645125733,"verb",9,10.21,1.75
5,"Concrete","A1","bronzed",2.686961802,"verb",7,10,4.07
6,"Abstract","A2","assumption",3.664218675,"noun",10,10.2,1.84
6,"Concrete","A2","guitarist",3.491615744,"noun",9,9.26,4.58
7,"Abstract","A1","veganism",1.394705731,"noun",8,14.06,1.6
7,"Concrete","A1","areola",1.473886977,"noun",6,13.31,4.78
8,"Abstract","A1","catchy",3.311685778,"noun",6,8.74,1.79
8,"Concrete","A1","saucepan",3.165557742,"noun",8,7.89,4.67
9,"Abstract","A1","supercritical",1.172856981,"adjective",13,13.41,1.93
9,"Concrete","A1","uncircumcised",1.172856981,"adjective",13,13.05,4.32
10,"Abstract","A1","romantic",4.369217423,"adjective",8,8.11,1.93
10,"Concrete","A1","polish",4.17660465,"adjective",6,8.06,4.23
11,"Abstract","A2","godliness",2.26393745,"noun",9,9.14,1.41
11,"Concrete","A2","cheeseboard",2.214249666,"noun",11,9.75,4.76
12,"Abstract","A2","politeness",2.756433567,"noun",10,6.89,1.79
12,"Concrete","A2","shoestring",2.68250746,"noun",10,6.21,4.87
13,"Abstract","A1","disdain",2.729159482,"noun",7,13.44,1.83
13,"Concrete","A1","geisha",2.883256447,"noun",6,14.24,4.42
14,"Abstract","A2","selfishness",2.752640578,"noun",11,6.61,1.97
14,"Concrete","A2","tableware",2.654777119,"noun",9,7.56,4.65
15,"Abstract","A1","conspicuous",3.057463562,"adjective",11,11.7,1.89
15,"Concrete","A1","chemotherapy",3.249618753,"adjective",12,12.53,4.35
16,"Abstract","A1","purpose",4.511180642,"noun",7,8.37,1.52
16,"Concrete","A1","steel",4.416060444,"noun",5,7.68,4.87
17,"Abstract","A2","inadequacy",2.214249666,"noun",10,12.68,1.7
17,"Concrete","A2","hotplate",2.093675735,"noun",8,12.21,4.7
18,"Abstract","A2","paranoia",3.150580586,"noun",8,12.79,1.74
18,"Concrete","A2","kingfisher",3.254444297,"noun",10,12.73,4.71
19,"Abstract","A2","comprehension",2.640218398,"noun",13,10.05,1.78
19,"Concrete","A2","disinfectant",2.686961802,"noun",12,10.74,4.11
20,"Abstract","A2","amateurism",2.038158407,"noun",10,12.88,1.67
20,"Concrete","A2","suppository",2.093675735,"noun",11,12,4.37
21,"Abstract","A2","unhappiness",3.036179841,"noun",11,6.84,1.52
21,"Concrete","A2","babysitter",3.02411533,"noun",10,5.86,4.57
22,"Abstract","A2","truth",4.909890512,"noun",5,4.42,1.96
22,"Concrete","A2","pop",4.950042059,"noun",3,4.48,4.22
23,"Abstract","A1","untried",2.528244639,"adjective",7,11.82,1.86
23,"Concrete","A1","chive",2.708572951,"adjective",5,11.07,4.81
24,"Abstract","A1","preoccupy",1.809679079,"adjective",9,12,1.79
24,"Concrete","A1","bipedal",1.951008231,"adjective",7,12.44,4
25,"Abstract","A2","dogma",2.796106271,"noun",5,12.89,1.79
25,"Concrete","A2","thong",2.960553549,"noun",5,12.41,4.93
26,"Abstract","A1","oblige",3.015882012,"verb",6,11.82,1.73
26,"Concrete","A1","convict",3.212931624,"verb",7,11,4.11
27,"Abstract","A2","naughtiness",2.394705731,"noun",11,8.9,1.87
27,"Concrete","A2","storehouse",2.214249666,"noun",10,8.56,4.62
28,"Abstract","A2","courtesy",3.696169804,"noun",8,7.72,1.77
28,"Concrete","A2","steering",3.859195278,"noun",8,7.56,4
29,"Abstract","A1","extent",4.395833431,"noun",6,10.72,1.44
29,"Concrete","A1","carbon",4.385754507,"noun",6,10.55,4.22
30,"Abstract","A2","morale",3.724713431,"noun",6,10.62,1.85
30,"Concrete","A2","email",3.762434277,"noun",5,11.52,4.69
31,"Abstract","A1","anxious",4.137273765,"adjective",7,10.21,1.68
31,"Concrete","A1","marine",4.196931968,"adjective",6,9.8,4.25
32,"Abstract","A2","logic",3.898224043,"noun",5,10.58,1.72
32,"Concrete","A2","quarry",3.813669561,"noun",6,10.56,4.37
33,"Abstract","A2","openness",3.328193018,"noun",8,8.68,1.9
33,"Concrete","A2","blower",3.196794988,"noun",6,8.32,4.07
34,"Abstract","A1","yucky",3.128705017,"adjective",5,4.17,1.86
34,"Concrete","A1","striped",3.250830175,"adjective",7,4.65,4.04
35,"Abstract","A2","miracle",4.123384097,"noun",7,6.8,1.96
35,"Concrete","A2","onion",4.28063207,"noun",5,6.05,4.86
36,"Abstract","A2","unfairness",3.075946968,"noun",10,7.42,1.67
36,"Concrete","A2","centipede",2.941248394,"noun",9,7.39,4.79
37,"Abstract","A2","mortality",3.396439443,"noun",9,12.35,1.46
37,"Concrete","A2","cuttlefish",3.238561153,"noun",10,12.88,4.23
38,"Abstract","A2","wickedness",2.752640578,"noun",10,8.79,1.72
38,"Concrete","A2","intercom",2.712769065,"noun",8,8.79,4.67
39,"Abstract","A2","greatness",3.344095737,"noun",9,8.33,1.69
39,"Concrete","A2","sparrow",3.377880803,"noun",7,7.49,4.85
40,"Abstract","A2","lieu",2.712769065,"noun",4,11.65,1.73
40,"Concrete","A2","mauve",2.708572951,"noun",5,11.26,4
41,"Abstract","A2","majesty",4.301040772,"name",7,7.63,1.94
41,"Concrete","A2","plaid",4.164673532,"name",5,8.56,4.23
42,"Abstract","A1","unfeasible",1.974489327,"adjective",10,14.76,1.44
42,"Concrete","A1","colonoscopy",2.017955021,"adjective",11,15.76,4.16
43,"Abstract","A1","metaphor",3.479639305,"noun",8,11.59,1.94
43,"Concrete","A1","carcass",3.451610582,"noun",7,12.25,4.46
44,"Abstract","A1","discerning",3.103975692,"adjective",10,11.56,1.46
44,"Concrete","A1","prosthetic",3.007489587,"adjective",10,11.44,4.4
45,"Abstract","A2","dreamland",2.645125733,"noun",9,7.29,1.73
45,"Concrete","A2","cornfield",2.546994075,"noun",9,6.42,4.96
46,"Abstract","A2","moderation",2.969893575,"noun",10,10.79,1.9
46,"Concrete","A2","polyester",2.792645739,"noun",9,10.16,4.12
47,"Abstract","A1","vitality",3.011706072,"noun",8,12.94,1.78
47,"Concrete","A1","baguette",3.049844165,"noun",8,13.75,4.64
48,"Abstract","A2","whimsy",2.367833584,"noun",6,10.26,1.85
48,"Concrete","A2","winery",2.41173907,"noun",6,10.78,4.35
49,"Abstract","A2","befall",2.559058586,"verb",6,10.59,1.72
49,"Concrete","A2","clench",2.5019157,"verb",6,9.89,4.25
50,"Abstract","A2","liberty",4.029787167,"name",7,8.83,1.85
50,"Concrete","A2","afghan",4.211079619,"name",6,9.11,4.5
51,"Abstract","A1","adherence",2.239803771,"noun",9,12.22,1.5
51,"Concrete","A1","darkroom",2.358493558,"noun",8,11.67,4.45
52,"Abstract","A1","longevity",3.156633569,"noun",9,10.72,1.9
52,"Concrete","A1","organism",3.164083057,"noun",8,10.61,4.16
53,"Abstract","A2","amazed",4.156783818,"verb",6,7.17,1.52
53,"Concrete","A2","wrap",4.097308572,"verb",4,7,4.11
54,"Abstract","A2","wariness",1.774916972,"noun",8,11.88,1.73
54,"Concrete","A2","tailcoat",1.695735726,"noun",8,12.33,4.67
55,"Abstract","A2","calmness",2.752640578,"noun",8,8.21,1.83
55,"Concrete","A2","morsel",2.604220745,"noun",6,8.78,4.19
56,"Abstract","A1","timelessness",2.057463562,"noun",12,10.84,1.65
56,"Concrete","A1","infantryman",1.871826985,"noun",11,10.44,4.36
57,"Abstract","A1","instigation",2.200885705,"noun",11,12.47,1.67
57,"Concrete","A1","chairwoman",2.239803771,"noun",10,12.95,4.41
58,"Abstract","A2","pity",4.095236388,"noun",4,8.72,1.87
58,"Concrete","A2","herd",4.027365444,"noun",4,7.74,4.11
59,"Abstract","A2","glory",4.371605682,"noun",5,7.4,1.45
59,"Concrete","A2","rail",4.397130995,"noun",4,7.89,4.9
60,"Abstract","A2","charade",2.785640838,"noun",7,9.56,1.93
60,"Concrete","A2","server",2.933781829,"noun",6,9.94,4.55
61,"Abstract","A1","resultant",2.297795718,"adjective",9,13.67,1.92
61,"Concrete","A1","paraplegic",2.142893758,"adjective",10,13.53,4
62,"Abstract","A2","sin",3.95676056,"noun",3,6.74,1.85
62,"Concrete","A2","cab",4.027972142,"noun",3,6.94,4.88
63,"Abstract","A2","fantasy",3.995678626,"noun",7,8.4,1.59
63,"Concrete","A2","paperwork",4.045595808,"noun",9,7.53,4.63
64,"Abstract","A1","implicate",2.34894824,"verb",9,11.68,1.68
64,"Concrete","A1","corrode",2.358493558,"verb",7,11.44,4.04
