item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Glasgow_Norms,CNC.Glasgow_Norms.M,CNC.Glasgow_Norms.SD
1,Abstract,A1,sensation,3.898224043,noun,9,5.3529,2.3143,1.344
1,Concrete,A1,employer,3.804976695,noun,8,5.3529,6.0882,1.067
2,Abstract,A1,courage,4.208953326,noun,7,3.7941,2.3529,1.074
2,Concrete,A1,muscle,4.114368414,noun,6,3.7059,6.4667,0.829
3,Abstract,A2,tendency,3.605291755,noun,8,5.5758,2.6765,1.156
3,Concrete,A2,pelvis,3.525039499,noun,6,5.5882,6.4848,0.849
4,Abstract,A2,sadness,3.721860243,noun,7,3.0625,2.7576,1.518
4,Concrete,A2,camel,3.796106271,noun,5,3.125,6.7931,0.47
5,Abstract,A2,resentment,3.341157996,noun,10,5.9412,2.2857,1.364
5,Concrete,A2,psychiatrist,3.350874161,noun,12,5.8485,6.1765,1.014
6,Abstract,A1,hell,4.885955334,noun,4,3.6286,2.2059,1.912
6,Concrete,A1,army,4.905277548,noun,4,3.5758,6.1045,1.017
7,Abstract,A2,gloom,3.603684248,noun,5,4.4848,2.6176,1.085
7,Concrete,A2,limb,3.66932535,noun,4,4.5714,6.3939,1.149
8,Abstract,A1,virtue,3.514621141,noun,6,5.4412,2.1212,1.231
8,Concrete,A1,liquor,3.481065561,noun,6,5.5294,6.3235,1.049
9,Abstract,A2,doom,3.799539447,noun,4,4.4194,2.1818,0.999
9,Concrete,A2,pier,3.811346238,noun,4,4.3871,6.3448,0.65
10,Abstract,A1,fuss,3.953654177,noun,4,3.3824,2.4242,1.118
10,Concrete,A1,drill,3.958898191,noun,5,3.4706,6.3143,0.979
11,Abstract,A2,mischief,3.483196201,noun,8,3.3768,2.7286,1.182
11,Concrete,A2,chestnut,3.437674804,noun,8,3.4412,6.4706,0.869
12,Abstract,A1,necessity,3.582226451,noun,9,5.1875,2.2727,0.962
12,Concrete,A1,missile,3.664218675,noun,7,5.0968,6.129,1.149
13,Abstract,A1,optimism,3.828955183,noun,8,5.4118,2.0588,1.056
13,Concrete,A1,mosque,3.81034671,noun,6,5.4375,6.3333,0.781
14,Abstract,A2,boredom,3.261583545,noun,7,3.5714,2.7647,1.726
14,Concrete,A2,librarian,3.239803771,noun,9,3.6286,6.1818,0.869
15,Abstract,A2,emphasis,3.87900557,noun,8,5.3824,2.7879,1.957
15,Concrete,A2,tsunami,3.793340055,noun,7,5.4118,6.3125,0.936
16,Abstract,A2,custom,3.559653103,noun,6,4.7353,2.7188,1.554
16,Concrete,A2,chemist,3.539591149,noun,7,4.6571,6.4,0.641
17,Abstract,A2,inkling,3.375163623,noun,7,6.0882,2.3333,1.295
17,Concrete,A2,lecturer,3.412573449,noun,8,6.1765,6.2941,0.82
18,Abstract,A1,excellence,3.645125733,noun,10,4.1471,2.697,1.485
18,Concrete,A1,cemetery,3.699196258,noun,8,4.0571,6.3824,1.149
19,Abstract,A1,myth,3.948588757,noun,4,4.5294,1.8788,1.037
