,noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase
0,sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,subsective,old,old sulphur
1,sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,privative,imaginary,imaginary sulphur
2,sulphur,1,concrete,3.351833928,7,2,5,6,4.23,4.7647,668.25,1.25,4.727,baseline,tqvgqrz,tqvgqrz sulphur
3,longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,subsective,special,special longing
4,longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,privative,past,past longing
5,longing,1,abstract,3.408385428,7,2,5,8,2.14,4.303,679.6666667,1.13,3.235,baseline,vpbyzkgrf,vpbyzkgrf longing
6,poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,subsective,special,special poison
7,poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,privative,past,past poison
8,poison,2,concrete,3.916627975,6,2,5,4,4.27,1.9706,520.65,1.01,5.324,baseline,wvcnz,wvcnz poison
9,terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,subsective,true,true terror
10,terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,privative,phony,phony terror
11,terror,2,abstract,4.061784936,6,2,4,4,2.43,1.6765,531.7222222,1.48,4.353,baseline,tqvgqrz,tqvgqrz terror
12,sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,subsective,average,average sauce
13,sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,privative,fabricated,fabricated sauce
14,sauce,3,concrete,4.787859595,5,1,3,2,4.75,5.7188,541.3846154,0.59,6.2,baseline,vpbyzkgrf,vpbyzkgrf sauce
15,duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,subsective,important,important duty
16,duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,privative,former,former duty
17,duty,3,abstract,4.614918455,4,2,4,4,2.19,5.0313,574.0277778,1.36,3.061,baseline,rjdnw,rjdnw duty
18,band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,subsective,current,current band
19,band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,privative,false,false band
20,band,4,concrete,4.935510541,4,1,4,2,4.68,6.0313,523.2,0.77,6.032,baseline,qxsw,qxsw band
21,spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,subsective,special,special spirit
22,spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,privative,past,past spirit
23,spirit,4,abstract,4.658199772,6,2,6,4,1.6,6.875,537.6410256,1.04,3.29,baseline,ptrgsbkv,ptrgsbkv spirit
24,brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,subsective,new,new brush
25,brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,privative,hypothetical,hypothetical brush
26,brush,5,concrete,4.286688961,5,1,4,2,4.54,5.5,532.7368421,0.74,6.207,baseline,vpbyzkgrf,vpbyzkgrf brush
27,pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,subsective,actual,actual pride
28,pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,privative,artificial,artificial pride
29,pride,5,abstract,4.479139007,5,1,4,4,1.66,5.9429,542.972973,1.01,3.412,baseline,rvqf,rvqf pride
30,mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,subsective,unique,unique mint
31,mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,privative,virtual,virtual mint
32,mint,6,concrete,4.153920162,4,1,4,2,4.54,6.1333,558.4736842,1.0,6.097,baseline,fxldmr,fxldmr mint
33,manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,subsective,unique,unique manner
34,manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,privative,virtual,virtual manner
35,manner,6,abstract,4.173291058,6,2,4,4,1.62,5.8,543.4736842,0.8,2.765,baseline,htbqzylm,htbqzylm manner
36,reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,subsective,unique,unique reptile
37,reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,privative,virtual,virtual reptile
38,reptile,7,concrete,3.358493558,7,2,6,6,4.47,4.5294,635.9210526,1.11,6.457,baseline,kmlsdjtw,kmlsdjtw reptile
39,mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,subsective,important,important mischief
40,mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,privative,former,former mischief
41,mischief,7,abstract,3.483196201,8,2,6,6,1.9,4.3333,615.9473684,1.03,4.118,baseline,xkq,xkq mischief
42,crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,subsective,average,average crown
43,crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,privative,fabricated,fabricated crown
44,crown,8,concrete,4.529965629,5,1,4,2,4.81,6.0625,528.6486486,0.48,6.586,baseline,rjdnw,rjdnw crown
45,faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,subsective,true,true faith
46,faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,privative,phony,phony faith
47,faith,8,abstract,4.666361503,5,1,3,2,1.63,6.6875,562.2631579,1.08,3.486,baseline,htbqzylm,htbqzylm faith
48,barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,subsective,genuine,genuine barrier
49,barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,privative,fictional,fictional barrier
50,barrier,9,concrete,4.038158407,7,3,5,6,4.41,3.3636,561.5,0.93,5.706,baseline,rvqf,rvqf barrier
51,scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,subsective,good,good scandal
52,scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,privative,fictitious,fictitious scandal
53,scandal,9,abstract,4.221428251,7,2,7,6,2.13,2.5429,602.475,1.36,3.657,baseline,ptrgsbkv,ptrgsbkv scandal
54,trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,subsective,actual,actual trailer
55,trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,privative,artificial,artificial trailer
56,trailer,10,concrete,3.681611084,7,2,5,4,4.79,5.0313,550.2894737,0.56,5.8,baseline,ptrgsbkv,ptrgsbkv trailer
57,caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,subsective,genuine,genuine caution
58,caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,privative,fictional,fictional caution
59,caution,10,abstract,3.808675702,7,2,5,4,2.04,4.1818,527.3947368,1.1,3.441,baseline,mghljkqr,mghljkqr caution
60,beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,subsective,typical,typical beggar
61,beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,privative,spurious,spurious beggar
62,beggar,11,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258,baseline,tqvgqrz,tqvgqrz beggar
63,blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,subsective,bad,bad blunder
64,blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,privative,fake,fake blunder
65,blunder,11,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059,baseline,rjdnw,rjdnw blunder
66,brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,subsective,authentic,authentic brake
67,brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,privative,counterfeit,counterfeit brake
68,brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657,baseline,htbqzylm,htbqzylm brake
69,hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,subsective,unique,unique hint
70,hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,privative,virtual,virtual hint
71,hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0,baseline,rvqf,rvqf hint
72,baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,subsective,typical,typical baggage
73,baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,privative,spurious,spurious baggage
74,baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0,baseline,wvcnz,wvcnz baggage
75,gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,subsective,average,average gloom
76,gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,privative,fabricated,fabricated gloom
77,gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788,baseline,mtpv,mtpv gloom
78,daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,subsective,important,important daughter
79,daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,privative,former,former daughter
80,daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879,baseline,zbxlv,zbxlv daughter
81,reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,subsective,important,important reason
82,reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,privative,former,former reason
83,reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029,baseline,wvcnz,wvcnz reason
84,chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,subsective,genuine,genuine chess
85,chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,privative,fictional,fictional chess
86,chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353,baseline,bxfjwts,bxfjwts chess
87,mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,subsective,bad,bad mercy
88,mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,privative,fake,fake mercy
89,mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229,baseline,mghljkqr,mghljkqr mercy
90,cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,subsective,good,good cooker
91,cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,privative,fictitious,fictitious cooker
92,cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514,baseline,qxsw,qxsw cooker
93,mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,subsective,perfect,perfect mode
94,mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,privative,mock,mock mode
95,mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636,baseline,kmlsdjtw,kmlsdjtw mode
96,fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,subsective,important,important fireworks
97,fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,privative,former,former fireworks
98,fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839,baseline,tqvgqrz,tqvgqrz fireworks
99,blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,subsective,authentic,authentic blessing
100,blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,privative,counterfeit,counterfeit blessing
101,blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576,baseline,vpbyzkgrf,vpbyzkgrf blessing
102,rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,subsective,new,new rubble
103,rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,privative,hypothetical,hypothetical rubble
104,rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,baseline,bxfjwts,bxfjwts rubble
105,bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,subsective,real,real bland
106,bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,privative,mythical,mythical bland
107,bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,baseline,tqvgqrz,tqvgqrz bland
108,slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,subsective,actual,actual slave
109,slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,privative,artificial,artificial slave
110,slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,baseline,qxsw,qxsw slave
111,sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,subsective,new,new sadness
112,sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,privative,hypothetical,hypothetical sadness
113,sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,baseline,rjdnw,rjdnw sadness
114,ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,subsective,perfect,perfect ground
115,ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,privative,mock,mock ground
116,ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,baseline,qxsw,qxsw ground
117,value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,subsective,bad,bad value
118,value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,privative,fake,fake value
119,value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,baseline,rvqf,rvqf value
120,night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,subsective,typical,typical night
121,night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,privative,spurious,spurious night
122,night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,baseline,mtpv,mtpv night
123,chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,subsective,real,real chance
124,chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,privative,mythical,mythical chance
125,chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,baseline,zrtqgfplh,zrtqgfplh chance
126,squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,subsective,perfect,perfect squash
127,squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,privative,mock,mock squash
128,squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,baseline,rvqf,rvqf squash
129,fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,subsective,genuine,genuine fuss
130,fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,privative,fictional,fictional fuss
131,fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,baseline,fxldmr,fxldmr fuss
132,packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,subsective,old,old packet
133,packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,privative,imaginary,imaginary packet
134,packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,baseline,qxsw,qxsw packet
135,myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,subsective,unique,unique myth
136,myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,privative,virtual,virtual myth
137,myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194,baseline,ypdcglkc,ypdcglkc myth
138,bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,subsective,actual,actual bomb
139,bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,privative,artificial,artificial bomb
140,bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273,baseline,zrtqgfplh,zrtqgfplh bomb
141,shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,subsective,current,current shame
142,shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,privative,false,false shame
143,shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412,baseline,rjdnw,rjdnw shame
144,stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,subsective,true,true stab
145,stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,privative,phony,phony stab
146,stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788,baseline,zbxlv,zbxlv stab
147,sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,subsective,real,real sin
148,sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,privative,mythical,mythical sin
149,sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618,baseline,bxfjwts,bxfjwts sin
