noun,concreteness,adjective,denotation,phrase,frequency_dep,frequency_seq
costume,concrete,actual,subsective,actual costume,1.1963955342639906e-09,1.114928707811634e-09
costume,concrete,authentic,subsective,authentic costume,3.2248087535530796e-09,1.9610106372121937e-09
costume,concrete,average,subsective,average costume,1.823691355016131e-10,1.8005317117136516e-10
costume,concrete,bad,subsective,bad costume,2.735949666785781e-10,2.411876691500138e-10
costume,concrete,current,subsective,current costume,3.1807405474183237e-10,2.764691147038192e-10
costume,concrete,genuine,subsective,genuine costume,6.20936032604522e-10,2.1107958396542018e-10
costume,concrete,good,subsective,good costume,1.978934678130557e-09,2.2777403914365955e-09
costume,concrete,important,subsective,important costume,2.9084596082699913e-10,5.865410036348732e-10
costume,concrete,new,subsective,new costume,1.704542637721816e-08,1.4505428531764208e-08
costume,concrete,old,subsective,old costume,9.814435680960346e-09,5.0823222054484e-09
costume,concrete,perfect,subsective,perfect costume,2.1435940286440756e-09,1.4500817265866217e-09
costume,concrete,real,subsective,real costume,1.2217314661424525e-09,6.575304511397845e-10
costume,concrete,special,subsective,special costume,9.141544168687642e-09,8.454812974861177e-09
costume,concrete,true,subsective,true costume,6.996580182937957e-10,2.1027278286344685e-10
costume,concrete,typical,subsective,typical costume,6.3690771953061665e-09,2.9972497841892066e-09
costume,concrete,unique,subsective,unique costume,1.2323479000923813e-09,1.0979160892575566e-09
costume,concrete,artificial,privative,artificial costume,1.0857788422622535e-10,9.06836248050302e-11
costume,concrete,counterfeit,privative,counterfeit costume,0.0,0.0
costume,concrete,fabricated,privative,fabricated costume,0.0,0.0
costume,concrete,fake,privative,fake costume,1.1345000996287893e-10,9.492304720910132e-11
costume,concrete,false,privative,false costume,1.0472069662122738e-10,7.974970607467339e-11
costume,concrete,fictional,privative,fictional costume,0.0,2.0417434594186382e-11
costume,concrete,fictitious,privative,fictitious costume,4.323032377380697e-11,3.8443801890445876e-11
costume,concrete,former,privative,former costume,3.4505790541340866e-10,3.2912230939166387e-10
costume,concrete,hypothetical,privative,hypothetical costume,0.0,0.0
costume,concrete,imaginary,privative,imaginary costume,1.1428222036570732e-10,1.072335116597006e-10
costume,concrete,mock,privative,mock costume,9.695514727234228e-11,1.6961605203116886e-11
costume,concrete,mythical,privative,mythical costume,3.5715321768938775e-11,2.7614879170845248e-11
costume,concrete,past,privative,past costume,5.086755274741866e-11,5.227922427482339e-11
costume,concrete,phony,privative,phony costume,2.316520982842394e-11,0.0
costume,concrete,spurious,privative,spurious costume,0.0,0.0
costume,concrete,virtual,privative,virtual costume,2.5468465472415384e-11,2.7280990095396557e-11
crystal,concrete,actual,subsective,actual crystal,4.804725239797531e-09,4.34522063161948e-09
crystal,concrete,authentic,subsective,authentic crystal,6.788767631418682e-11,7.415791982803133e-11
crystal,concrete,average,subsective,average crystal,1.8292244630690115e-09,2.7693473562432753e-09
