noun,condition,adjective,denotation,phrase
costume,concrete,good,subsective,good costume
costume,concrete,recent,subsective,recent costume
costume,concrete,typical,subsective,typical costume
costume,concrete,new,subsective,new costume
costume,concrete,possible,non-subsective,possible costume
costume,concrete,potential,non-subsective,potential costume
costume,concrete,past,non-subsective,past costume
costume,concrete,fake,non-subsective,fake costume
crystal,concrete,good,subsective,good crystal
crystal,concrete,recent,subsective,recent crystal
crystal,concrete,typical,subsective,typical crystal
crystal,concrete,new,subsective,new crystal
crystal,concrete,possible,non-subsective,possible crystal
crystal,concrete,potential,non-subsective,potential crystal
crystal,concrete,past,non-subsective,past crystal
crystal,concrete,fake,non-subsective,fake crystal
pedal,concrete,good,subsective,good pedal
pedal,concrete,recent,subsective,recent pedal
pedal,concrete,typical,subsective,typical pedal
pedal,concrete,new,subsective,new pedal
pedal,concrete,possible,non-subsective,possible pedal
pedal,concrete,potential,non-subsective,potential pedal
pedal,concrete,past,non-subsective,past pedal
pedal,concrete,fake,non-subsective,fake pedal
rook,concrete,good,subsective,good rook
rook,concrete,recent,subsective,recent rook
rook,concrete,typical,subsective,typical rook
rook,concrete,new,subsective,new rook
rook,concrete,possible,non-subsective,possible rook
rook,concrete,potential,non-subsective,potential rook
rook,concrete,past,non-subsective,past rook
rook,concrete,fake,non-subsective,fake rook
mink,concrete,good,subsective,good mink
mink,concrete,recent,subsective,recent mink
mink,concrete,typical,subsective,typical mink
mink,concrete,new,subsective,new mink
mink,concrete,possible,non-subsective,possible mink
mink,concrete,potential,non-subsective,potential mink
mink,concrete,past,non-subsective,past mink
mink,concrete,fake,non-subsective,fake mink
chalet,concrete,good,subsective,good chalet
chalet,concrete,recent,subsective,recent chalet
chalet,concrete,typical,subsective,typical chalet
chalet,concrete,new,subsective,new chalet
chalet,concrete,possible,non-subsective,possible chalet
chalet,concrete,potential,non-subsective,potential chalet
chalet,concrete,past,non-subsective,past chalet
chalet,concrete,fake,non-subsective,fake chalet
hooch,concrete,good,subsective,good hooch
hooch,concrete,recent,subsective,recent hooch
hooch,concrete,typical,subsective,typical hooch
hooch,concrete,new,subsective,new hooch
hooch,concrete,possible,non-subsective,possible hooch
hooch,concrete,potential,non-subsective,potential hooch
hooch,concrete,past,non-subsective,past hooch
hooch,concrete,fake,non-subsective,fake hooch
chorus,concrete,good,subsective,good chorus
chorus,concrete,recent,subsective,recent chorus
chorus,concrete,typical,subsective,typical chorus
chorus,concrete,new,subsective,new chorus
chorus,concrete,possible,non-subsective,possible chorus
chorus,concrete,potential,non-subsective,potential chorus
chorus,concrete,past,non-subsective,past chorus
chorus,concrete,fake,non-subsective,fake chorus
zit,concrete,good,subsective,good zit
zit,concrete,recent,subsective,recent zit
zit,concrete,typical,subsective,typical zit
zit,concrete,new,subsective,new zit
zit,concrete,possible,non-subsective,possible zit
zit,concrete,potential,non-subsective,potential zit
zit,concrete,past,non-subsective,past zit
zit,concrete,fake,non-subsective,fake zit
retina,concrete,good,subsective,good retina
retina,concrete,recent,subsective,recent retina
retina,concrete,typical,subsective,typical retina
retina,concrete,new,subsective,new retina
retina,concrete,possible,non-subsective,possible retina
retina,concrete,potential,non-subsective,potential retina
retina,concrete,past,non-subsective,past retina
retina,concrete,fake,non-subsective,fake retina
locker,concrete,good,subsective,good locker
locker,concrete,recent,subsective,recent locker
locker,concrete,typical,subsective,typical locker
locker,concrete,new,subsective,new locker
locker,concrete,possible,non-subsective,possible locker
locker,concrete,potential,non-subsective,potential locker
locker,concrete,past,non-subsective,past locker
locker,concrete,fake,non-subsective,fake locker
redhead,concrete,good,subsective,good redhead
redhead,concrete,recent,subsective,recent redhead
redhead,concrete,typical,subsective,typical redhead
redhead,concrete,new,subsective,new redhead
redhead,concrete,possible,non-subsective,possible redhead
redhead,concrete,potential,non-subsective,potential redhead
redhead,concrete,past,non-subsective,past redhead
redhead,concrete,fake,non-subsective,fake redhead
comma,concrete,good,subsective,good comma
comma,concrete,recent,subsective,recent comma
comma,concrete,typical,subsective,typical comma
comma,concrete,new,subsective,new comma
comma,concrete,possible,non-subsective,possible comma
comma,concrete,potential,non-subsective,potential comma
comma,concrete,past,non-subsective,past comma
comma,concrete,fake,non-subsective,fake comma
comet,concrete,good,subsective,good comet
comet,concrete,recent,subsective,recent comet
comet,concrete,typical,subsective,typical comet
comet,concrete,new,subsective,new comet
comet,concrete,possible,non-subsective,possible comet
comet,concrete,potential,non-subsective,potential comet
comet,concrete,past,non-subsective,past comet
comet,concrete,fake,non-subsective,fake comet
copier,concrete,good,subsective,good copier
copier,concrete,recent,subsective,recent copier
copier,concrete,typical,subsective,typical copier
copier,concrete,new,subsective,new copier
copier,concrete,possible,non-subsective,possible copier
copier,concrete,potential,non-subsective,potential copier
copier,concrete,past,non-subsective,past copier
copier,concrete,fake,non-subsective,fake copier
furnace,concrete,good,subsective,good furnace
furnace,concrete,recent,subsective,recent furnace
furnace,concrete,typical,subsective,typical furnace
furnace,concrete,new,subsective,new furnace
furnace,concrete,possible,non-subsective,possible furnace
furnace,concrete,potential,non-subsective,potential furnace
furnace,concrete,past,non-subsective,past furnace
furnace,concrete,fake,non-subsective,fake furnace
toy,concrete,good,subsective,good toy
toy,concrete,recent,subsective,recent toy
toy,concrete,typical,subsective,typical toy
toy,concrete,new,subsective,new toy
toy,concrete,possible,non-subsective,possible toy
toy,concrete,potential,non-subsective,potential toy
toy,concrete,past,non-subsective,past toy
toy,concrete,fake,non-subsective,fake toy
fowl,concrete,good,subsective,good fowl
fowl,concrete,recent,subsective,recent fowl
fowl,concrete,typical,subsective,typical fowl
fowl,concrete,new,subsective,new fowl
fowl,concrete,possible,non-subsective,possible fowl
fowl,concrete,potential,non-subsective,potential fowl
fowl,concrete,past,non-subsective,past fowl
fowl,concrete,fake,non-subsective,fake fowl
collar,concrete,good,subsective,good collar
collar,concrete,recent,subsective,recent collar
collar,concrete,typical,subsective,typical collar
collar,concrete,new,subsective,new collar
collar,concrete,possible,non-subsective,possible collar
collar,concrete,potential,non-subsective,potential collar
collar,concrete,past,non-subsective,past collar
collar,concrete,fake,non-subsective,fake collar
lesion,concrete,good,subsective,good lesion
lesion,concrete,recent,subsective,recent lesion
lesion,concrete,typical,subsective,typical lesion
lesion,concrete,new,subsective,new lesion
lesion,concrete,possible,non-subsective,possible lesion
lesion,concrete,potential,non-subsective,potential lesion
lesion,concrete,past,non-subsective,past lesion
lesion,concrete,fake,non-subsective,fake lesion
indoors,concrete,good,subsective,good indoors
indoors,concrete,recent,subsective,recent indoors
indoors,concrete,typical,subsective,typical indoors
indoors,concrete,new,subsective,new indoors
indoors,concrete,possible,non-subsective,possible indoors
indoors,concrete,potential,non-subsective,potential indoors
indoors,concrete,past,non-subsective,past indoors
indoors,concrete,fake,non-subsective,fake indoors
wine,concrete,good,subsective,good wine
wine,concrete,recent,subsective,recent wine
wine,concrete,typical,subsective,typical wine
wine,concrete,new,subsective,new wine
wine,concrete,possible,non-subsective,possible wine
wine,concrete,potential,non-subsective,potential wine
wine,concrete,past,non-subsective,past wine
wine,concrete,fake,non-subsective,fake wine
aircrew,concrete,good,subsective,good aircrew
aircrew,concrete,recent,subsective,recent aircrew
aircrew,concrete,typical,subsective,typical aircrew
aircrew,concrete,new,subsective,new aircrew
aircrew,concrete,possible,non-subsective,possible aircrew
aircrew,concrete,potential,non-subsective,potential aircrew
aircrew,concrete,past,non-subsective,past aircrew
aircrew,concrete,fake,non-subsective,fake aircrew
rider,concrete,good,subsective,good rider
rider,concrete,recent,subsective,recent rider
rider,concrete,typical,subsective,typical rider
rider,concrete,new,subsective,new rider
rider,concrete,possible,non-subsective,possible rider
rider,concrete,potential,non-subsective,potential rider
rider,concrete,past,non-subsective,past rider
rider,concrete,fake,non-subsective,fake rider
scab,concrete,good,subsective,good scab
scab,concrete,recent,subsective,recent scab
scab,concrete,typical,subsective,typical scab
scab,concrete,new,subsective,new scab
scab,concrete,possible,non-subsective,possible scab
scab,concrete,potential,non-subsective,potential scab
scab,concrete,past,non-subsective,past scab
scab,concrete,fake,non-subsective,fake scab
jasmine,concrete,good,subsective,good jasmine
jasmine,concrete,recent,subsective,recent jasmine
jasmine,concrete,typical,subsective,typical jasmine
jasmine,concrete,new,subsective,new jasmine
jasmine,concrete,possible,non-subsective,possible jasmine
jasmine,concrete,potential,non-subsective,potential jasmine
jasmine,concrete,past,non-subsective,past jasmine
jasmine,concrete,fake,non-subsective,fake jasmine
tinsel,concrete,good,subsective,good tinsel
tinsel,concrete,recent,subsective,recent tinsel
tinsel,concrete,typical,subsective,typical tinsel
tinsel,concrete,new,subsective,new tinsel
tinsel,concrete,possible,non-subsective,possible tinsel
tinsel,concrete,potential,non-subsective,potential tinsel
tinsel,concrete,past,non-subsective,past tinsel
tinsel,concrete,fake,non-subsective,fake tinsel
dye,concrete,good,subsective,good dye
dye,concrete,recent,subsective,recent dye
dye,concrete,typical,subsective,typical dye
dye,concrete,new,subsective,new dye
dye,concrete,possible,non-subsective,possible dye
dye,concrete,potential,non-subsective,potential dye
dye,concrete,past,non-subsective,past dye
dye,concrete,fake,non-subsective,fake dye
perfume,concrete,good,subsective,good perfume
perfume,concrete,recent,subsective,recent perfume
perfume,concrete,typical,subsective,typical perfume
perfume,concrete,new,subsective,new perfume
perfume,concrete,possible,non-subsective,possible perfume
perfume,concrete,potential,non-subsective,potential perfume
perfume,concrete,past,non-subsective,past perfume
perfume,concrete,fake,non-subsective,fake perfume
trophy,concrete,good,subsective,good trophy
trophy,concrete,recent,subsective,recent trophy
trophy,concrete,typical,subsective,typical trophy
trophy,concrete,new,subsective,new trophy
trophy,concrete,possible,non-subsective,possible trophy
trophy,concrete,potential,non-subsective,potential trophy
trophy,concrete,past,non-subsective,past trophy
trophy,concrete,fake,non-subsective,fake trophy
record,concrete,good,subsective,good record
record,concrete,recent,subsective,recent record
record,concrete,typical,subsective,typical record
record,concrete,new,subsective,new record
record,concrete,possible,non-subsective,possible record
record,concrete,potential,non-subsective,potential record
record,concrete,past,non-subsective,past record
record,concrete,fake,non-subsective,fake record
door,concrete,good,subsective,good door
door,concrete,recent,subsective,recent door
door,concrete,typical,subsective,typical door
door,concrete,new,subsective,new door
door,concrete,possible,non-subsective,possible door
door,concrete,potential,non-subsective,potential door
door,concrete,past,non-subsective,past door
door,concrete,fake,non-subsective,fake door
riser,concrete,good,subsective,good riser
riser,concrete,recent,subsective,recent riser
riser,concrete,typical,subsective,typical riser
riser,concrete,new,subsective,new riser
riser,concrete,possible,non-subsective,possible riser
riser,concrete,potential,non-subsective,potential riser
riser,concrete,past,non-subsective,past riser
riser,concrete,fake,non-subsective,fake riser
euro,concrete,good,subsective,good euro
euro,concrete,recent,subsective,recent euro
euro,concrete,typical,subsective,typical euro
euro,concrete,new,subsective,new euro
euro,concrete,possible,non-subsective,possible euro
euro,concrete,potential,non-subsective,potential euro
euro,concrete,past,non-subsective,past euro
euro,concrete,fake,non-subsective,fake euro
coal,concrete,good,subsective,good coal
coal,concrete,recent,subsective,recent coal
coal,concrete,typical,subsective,typical coal
coal,concrete,new,subsective,new coal
coal,concrete,possible,non-subsective,possible coal
coal,concrete,potential,non-subsective,potential coal
coal,concrete,past,non-subsective,past coal
coal,concrete,fake,non-subsective,fake coal
bran,concrete,good,subsective,good bran
bran,concrete,recent,subsective,recent bran
bran,concrete,typical,subsective,typical bran
bran,concrete,new,subsective,new bran
bran,concrete,possible,non-subsective,possible bran
bran,concrete,potential,non-subsective,potential bran
bran,concrete,past,non-subsective,past bran
bran,concrete,fake,non-subsective,fake bran
saline,concrete,good,subsective,good saline
saline,concrete,recent,subsective,recent saline
saline,concrete,typical,subsective,typical saline
saline,concrete,new,subsective,new saline
saline,concrete,possible,non-subsective,possible saline
saline,concrete,potential,non-subsective,potential saline
saline,concrete,past,non-subsective,past saline
saline,concrete,fake,non-subsective,fake saline
crust,concrete,good,subsective,good crust
crust,concrete,recent,subsective,recent crust
crust,concrete,typical,subsective,typical crust
crust,concrete,new,subsective,new crust
crust,concrete,possible,non-subsective,possible crust
