"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","AoA.Kuperman","CNC.Brysbaert","RT.BLP"
1,"LowFreq","A1","earphone",1.649978236,9.45,4.74,613.1842105
1,"HighFreq","A1","cocoon",2.841863762,8.95,4.83,598.3513514
2,"LowFreq","A1","tuft",2.451610582,9.87,3.85,699.962963
2,"HighFreq","A1","pauper",2.897132851,9.44,3.8,680.5806452
3,"LowFreq","A2","goggle",2.34894824,9.44,4.42,623.0833333
3,"HighFreq","A2","bowels",3.110709074,9.78,4.33,619.8157895
4,"LowFreq","A2","kickoff",2.252038227,8.84,4.41,699.1724138
4,"HighFreq","A2","shred",3.232294169,9.28,4.38,689.5277778
5,"LowFreq","A2","harshness",2.45916372,9.47,2.19,578.6578947
5,"HighFreq","A2","freshness",3.376976964,9.44,2.12,591.7631579
6,"LowFreq","A1","torchlight",2.34894824,8.53,4.28,620.15
6,"HighFreq","A1","outlet",3.283446691,8.32,4.31,607.6666667
7,"LowFreq","A1","glutton",2.45916372,12.22,3.16,643.8571429
7,"HighFreq","A1","franchise",3.68563029,12.58,3.07,662.0571429
8,"LowFreq","A2","sneaker",2.057463562,6.25,4.69,615.6216216
8,"HighFreq","A2","dryer",3.345070585,6.16,4.79,609.25
9,"LowFreq","A1","lounger",2.443923753,9.82,4.04,651.0344828
9,"HighFreq","A1","calcium",3.443923753,9.89,4.07,649
10,"LowFreq","A1","homegrown",2.12709949,10.21,2.72,656.3947368
10,"HighFreq","A1","curfew",3.294526233,10.26,2.73,642.0526316
11,"LowFreq","A1","inflow",2.038158407,11.6,2.69,685.0588235
11,"HighFreq","A1","skirmish",2.733162224,11.83,2.69,679.9230769
12,"LowFreq","A1","doubter",1.926184648,9.44,2.39,676.88
12,"HighFreq","A1","frenzy",3.498509451,9.53,2.31,664.2571429
13,"LowFreq","A2","droplet",2.227214643,9.33,4.45,666.0263158
13,"HighFreq","A2","stub",2.744953749,9.47,4.4,677.3529412
14,"LowFreq","A2","earthworm",2.495076276,5.35,4.89,613.1944444
14,"HighFreq","A2","broom",3.562613541,5.5,4.89,608.4210526
15,"LowFreq","A1","oilcloth",1.473886977,12.53,4.4,681.7058824
15,"HighFreq","A1","marrow",3.595008914,12.16,4.48,688.5
16,"LowFreq","A1","nightlight",1.649978236,5.21,4.93,739.4722222
16,"HighFreq","A1","seesaw",2.97219753,4.81,4.92,737.53125
17,"LowFreq","A2","snarl",2.451610582,8.75,4,611.5675676
17,"HighFreq","A2","caffeine",3.231029846,9.16,4.04,613.4736842
18,"LowFreq","A1","mourner",1.996765722,10.32,3.62,610.5588235
18,"HighFreq","A1","volley",3.41173907,10.24,3.59,615.2647059
19,"LowFreq","A2","horseplay",2.239803771,6.05,3.84,615.59375
19,"HighFreq","A2","gallon",3.26040179,6.25,3.92,617.425
20,"LowFreq","A1","clearness",1.598825713,8.25,2.48,660.3103448
20,"HighFreq","A1","stillness",2.857103728,8.1,2.4,670.8888889
21,"LowFreq","A1","godson",2.466587738,9.94,3.72,734.8214286
21,"HighFreq","A1","heirloom",3.267444558,9.67,3.73,724.6451613
22,"LowFreq","A1","sweatshop",2.172856981,11.33,4.07,689.1176471
22,"HighFreq","A1","tradesman",3.074133627,11.44,4.07,674.3076923
23,"LowFreq","A2","redskin",1.737128411,10.32,3.85,649.4444444
23,"HighFreq","A2","lodger",3.015882012,10.13,3.93,632.6111111
24,"LowFreq","A2","headlight",2.488127416,6.79,4.97,571.1025641
24,"HighFreq","A2","crate",3.287912484,7.06,4.93,560.0294118
25,"LowFreq","A2","scrawl",2.252038227,11.73,3.92,620.3636364
25,"HighFreq","A2","flank",3.16995199,12.15,4,606.7027027
26,"LowFreq","A2","softener",2.239803771,9.44,3.38,619.5263158
26,"HighFreq","A2","grit",3.681611084,9.71,3.33,631.4722222
27,"LowFreq","A2","squealer",1.871826985,9.79,3.52,612.3714286
27,"HighFreq","A2","mileage",3.291231948,10.22,3.47,626.1621622
28,"LowFreq","A2","dingo",2.488127416,11.29,4.73,598.8571429
28,"HighFreq","A2","goblet",3.21556372,11.44,4.65,585.725
29,"LowFreq","A1","spool",2.394705731,8,4.62,718.5
29,"HighFreq","A1","lamppost",2.983537456,8.39,4.66,737.3939394
30,"LowFreq","A2","dimwit",2.443923753,9.69,2.56,674.84
30,"HighFreq","A2","polling",3.698333707,10.19,2.52,693.8181818
31,"LowFreq","A1","corsage",2.18709742,11.47,4.38,619.8571429
31,"HighFreq","A1","gallows",2.951008231,11.24,4.35,607.125
32,"LowFreq","A1","outgrowth",1.649978236,11.47,3.46,658.862069
32,"HighFreq","A1","pasty",3.630738878,11.17,3.45,676.8
33,"LowFreq","A2","broiler",1.473886977,9.63,4.83,611.9473684
33,"HighFreq","A2","keyboard",3.641204311,9.32,4.93,603.7631579
34,"LowFreq","A2","nursemaid",2.200885705,9.75,4.5,687.8076923
34,"HighFreq","A2","woodwind",2.976769093,9.37,4.43,672.4545455
35,"LowFreq","A2","storehouse",2.214249666,8.56,4.62,676.4516129
35,"HighFreq","A2","speedway",2.712769065,9,4.57,687.1428571
36,"LowFreq","A2","tonsil",2.252038227,9.5,4.72,670.2702703
36,"HighFreq","A2","plywood",2.854098218,9.38,4.82,680.6666667
37,"LowFreq","A2","radiance",2.428129486,9.56,2.21,600.5789474
37,"HighFreq","A2","premium",3.935535545,9.95,2.11,603.5135135
38,"LowFreq","A2","sunlit",2.466587738,8,4.31,623.5555556
38,"HighFreq","A2","chime",3.406698845,7.83,4.4,608.7631579
39,"LowFreq","A1","shiner",2.286800333,8.21,3.79,633.9130435
39,"HighFreq","A1","duo",3.790905078,7.94,3.7,614.8
40,"LowFreq","A2","doornail",1.951008231,8.14,4.9,667.5
40,"HighFreq","A2","yam",2.992400916,8.34,4.93,658.047619
41,"LowFreq","A2","poser",2.385931806,13.22,3.6,611.0810811
41,"HighFreq","A2","ozone",2.809679079,12.79,3.5,596.5135135
42,"LowFreq","A1","pronoun",2.093675735,8.63,2.48,646.2
42,"HighFreq","A1","guidance",3.925929105,8.95,2.46,639.0769231
43,"LowFreq","A1","dewdrop",1.737128411,8.68,4.69,741.36
43,"HighFreq","A1","forklift",2.888860325,9.11,4.79,742.6764706
44,"LowFreq","A2","lozenge",2.495076276,9,4.59,735.7419355
44,"HighFreq","A2","creamer",2.645125733,8.72,4.66,738.3823529
45,"LowFreq","A1","sculptress",1.951008231,12.79,4.23,698.5
45,"HighFreq","A1","cayenne",3.070484072,12.81,4.22,698.0714286
46,"LowFreq","A2","tenseness",1.598825713,11.05,2.33,736.3846154
