,set_nr,specificity,word1,word2,probe,answer,length,zipf,CNC_M,CNC_SD,imageability,valence,AoA,RT
0,1,high,vpbyzkgrf,kangaroo,,,8,3.62,4.86,0.76,6.793,6.438,5.55,
1,1,mid,hopping,animal,,,6,4.93,4.61,0.8,6.647,6.206,2.89,
2,1,low,ypdcglkc,animal,,,6,4.93,4.61,0.8,6.647,6.206,2.89,
3,2,high,tqvgqrz,snail,,,5,3.69,4.93,0.27,6.815,4.645,5.79,538.342105263158
4,2,mid,slow,animal,,,6,4.93,4.61,0.8,6.647,6.206,2.89,
5,2,low,fxldmr,animal,,,6,4.93,4.61,0.8,6.647,6.206,2.89,
6,3,high,rjdnw,cardinal,,,8,3.67,4.74,0.86,,,8.0,
7,3,mid,red,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
8,3,low,wvcnz,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
9,4,high,ptrgsbkv,kingfisher,,,10,3.25,4.71,0.85,,,12.73,
10,4,mid,fishing,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
11,4,low,rjdnw,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
12,5,high,rvqf,ostrich,,,7,3.52,4.71,0.94,6.486,5.273,6.42,685.27027027027
13,5,mid,big,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
14,5,low,kmlsdjtw,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
15,6,high,htbqzylm,ostrich,,,7,3.52,4.71,0.94,6.486,5.273,6.42,685.27027027027
16,6,mid,large,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
17,6,low,mtpv,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
18,7,high,xkq,owl,Does it have feathers?,yes,3,4.07,4.93,0.26,6.719,5.818,6.21,526.675
19,7,mid,nocturnal,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
