display,randomise_trials,option1,option2,correct_answer,condition_choose
instructions_practice,,,,,general
trial_practice,0,white pigeon,pigeon,right,general
trial_practice,0,bird,crow,left,general
trial_practice,0,elegant bird,swan,left,general
trial_practice,0,van,car,right,general
trial_practice,0,vehicle,Audi,left,general
trial_practice,0,Toyota,automobile,right,general
trial_practice,0,plant,cactus,left,general
trial_practice,0,lily,flower,right,general
trial_practice,0,palm,tree,right,general
repeat_practice,,,,,general
instructions_experimental,,,,,general
trial_experimental,1,skewered meat,meat,right,general
trial_experimental,1,bread,ring-shaped bread,left,general
trial_experimental,1,music,sound,right,general
trial_experimental,1,gardening tool,tool,right,general
trial_experimental,1,building,medical building,left,general
trial_experimental,1,seat,stool,left,general
trial_experimental,1,bird,kingfisher,left,general
trial_experimental,1,building,house,left,general
trial_experimental,1,beauty product,hairspray,left,general
trial_experimental,1,cocktail,drink,right,general
trial_experimental,1,brie,cheese,right,general
trial_experimental,1,storm,violent weather,right,general
trial_experimental,1,mammal,spiky mammal,left,general
trial_experimental,1,vehicle,horse-drawn vehicle,left,general
trial_experimental,1,dog,guide dog,left,general
trial_experimental,1,fish,flounder,left,general
trial_experimental,1,male,young male,left,general
trial_experimental,1,trowel,tool,right,general
trial_experimental,1,fruit,thorny fruit,left,general
trial_experimental,1,storm,weather,right,general
trial_experimental,1,durian,fruit,right,general
trial_experimental,1,skewered meat,kebab,left,general
trial_experimental,1,leafy vegetable,lettuce,left,general
trial_experimental,1,expensive boat,yacht,left,general
trial_experimental,1,digging tool,tool,right,general
trial_experimental,1,meal,light meal,left,general
trial_experimental,1,fruit,fuzzy fruit,left,general
trial_experimental,1,vegetable,leafy vegetable,left,general
trial_experimental,1,waddling bird,bird,right,general
trial_experimental,1,cat,black cat,left,general
trial_experimental,1,head sculpture,sculpture,right,general
trial_experimental,1,bedding,blanket,left,general
trial_experimental,1,vehicle,underwater vehicle,left,general
trial_experimental,1,kiwi,fruit,right,general
trial_experimental,1,dish,sushi,left,general
trial_experimental,1,rain boots,boots,right,general
trial_experimental,1,owl,nocturnal bird,right,general
trial_experimental,1,agricultural vehicle,tractor,left,general
trial_experimental,1,cook,chef,left,general
trial_experimental,1,computer,laptop,left,general
trial_experimental,1,mansion,large house,right,general
trial_experimental,1,swan,graceful bird,right,general
trial_experimental,1,transport,public transport,left,general
trial_experimental,1,diplomat,senior diplomat,left,general
trial_experimental,1,jacket,garment,right,general
trial_experimental,1,solitary person,hermit,left,general
trial_experimental,1,hospital,building,right,general
trial_experimental,1,frog,hopping amphibian,right,general
trial_experimental,1,building,farm building,left,general
trial_experimental,1,lorry,vehicle,right,general
trial_experimental,1,sound,melodic sound,left,general
trial_experimental,1,ringed planet,Saturn,left,general
trial_experimental,1,mammal,nocturnal mammal,left,general
trial_experimental,1,tiger,cat,right,general
trial_experimental,1,pumpkin,vegetable,right,general
trial_experimental,1,solo,operatic solo,left,general
trial_experimental,1,amphibian,hopping amphibian,left,general
trial_experimental,1,tiny dog,dog,right,general
trial_experimental,1,cat,hairless cat,left,general
trial_experimental,1,solo,aria,left,general
trial_experimental,1,BMW,German car,right,general
trial_experimental,1,barn,farm building,right,general
trial_experimental,1,hedgehog,spiky mammal,right,general
trial_experimental,1,cat,sphynx,left,general
trial_experimental,1,cat,panther,left,general
trial_experimental,1,warm clothing,jumper,left,general
trial_experimental,1,wine,champagne,left,general
trial_experimental,1,loaf,baguette,left,general
trial_experimental,1,orange vegetable,vegetable,right,general
trial_experimental,1,cook,professional cook,left,general
trial_experimental,1,loaf,French loaf,left,general
trial_experimental,1,whiskey,liquor,right,general
trial_experimental,1,pearl,sphere,right,general
trial_experimental,1,medical vehicle,vehicle,right,general
trial_experimental,1,person,hermit,left,general
trial_experimental,1,hairless cat,sphynx,left,general
trial_experimental,1,stringed instrument,instrument,right,general
trial_experimental,1,carrot,vegetable,right,general
trial_experimental,1,diving bird,kingfisher,left,general
trial_experimental,1,car,limousine,left,general
trial_experimental,1,rose,thorny flower,right,general
trial_experimental,1,sloth,slow animal,right,general
trial_experimental,1,violin,instrument,right,general
trial_experimental,1,watermelon,fruit,right,general
trial_experimental,1,corn,kernelled vegetable,right,general
trial_experimental,1,tined utensil,fork,left,general
trial_experimental,1,hat,beret,left,general
trial_experimental,1,outer garment,garment,right,general
trial_experimental,1,senior diplomat,ambassador,left,general
trial_experimental,1,shears,tool,right,general
trial_experimental,1,wooden building,building,right,general
trial_experimental,1,tiny dog,Chihuahua,left,general
trial_experimental,1,river,narrow river,left,general
trial_experimental,1,diplomat,ambassador,left,general
trial_experimental,1,tall mammal,giraffe,left,general
trial_experimental,1,odour,unpleasant odour,left,general
trial_experimental,1,bird,diving bird,left,general
trial_experimental,1,grape,fruit,right,general
trial_experimental,1,penguin,waddling bird,right,general
trial_experimental,1,petty crime,shoplifting,left,general
trial_experimental,1,vegetable,aubergine,left,general
trial_experimental,1,flu,illness,right,general
trial_experimental,1,mammal,bat,left,general
trial_experimental,1,pasta,Italian food,right,general
trial_experimental,1,apple,crisp fruit,right,general
trial_experimental,1,metal,magnetic metal,left,general
trial_experimental,1,weather,violent weather,left,general
trial_experimental,1,crocodile,large reptile,right,general
trial_experimental,1,helmet,hat,right,general
trial_experimental,1,tomato sauce,ketchup,left,general
trial_experimental,1,gem,blue gem,left,general
trial_experimental,1,violin,stringed instrument,right,general
trial_experimental,1,bird,ostrich,left,general
trial_experimental,1,python,snake,right,general
trial_experimental,1,striped cat,cat,right,general
trial_experimental,1,gem,red gem,left,general
trial_experimental,1,large bird,ostrich,left,general
trial_experimental,1,gardening tool,trowel,left,general
trial_experimental,1,mob,crowd,right,general
trial_experimental,1,snacks,crisps,left,general
trial_experimental,1,dog,Labrador,left,general
trial_experimental,1,swan,bird,right,general
trial_experimental,1,small boat,canoe,left,general
trial_experimental,1,apple,fruit,right,general
trial_experimental,1,planet,Saturn,left,general
trial_experimental,1,tined utensil,utensil,right,general
trial_experimental,1,pumpkin,orange vegetable,right,general
trial_experimental,1,naval rank,rank,right,general
trial_experimental,1,metal,iron,left,general
trial_experimental,1,residential building,building,right,general
trial_experimental,1,Japanese dish,sushi,left,general
trial_experimental,1,vehicle,transport vehicle,left,general
trial_experimental,1,sloth,animal,right,general
trial_experimental,1,female ruler,ruler,right,general
