display,randomise_trials,option1,option2,correct_answer,condition_choose
instructions_practice session,,,,,less
trial_practice,0,white pigeon,pigeon,right,less
trial_practice,0,bird,crow,left,less
trial_practice,0,elegant bird,swan,right,less
trial_practice,0,van,car,right,less
trial_practice,0,vehicle,Audi,left,less
trial_practice,0,Toyota,automobile,right,less
trial_practice,0,plant,cactus,left,less
trial_practice,0,lily,flower,right,less
trial_practice,0,palm,tree,right,less
repeat_practice,,,,,less
instructions_experimental,,,,,less
trial_experimental,1,skewered meat,meat,right,less
trial_experimental,1,bread,ring-shaped bread,left,less
trial_experimental,1,music,sound,right,less
trial_experimental,1,gardening tool,tool,right,less
trial_experimental,1,building,medical building,left,less
trial_experimental,1,seat,stool,left,less
trial_experimental,1,bird,kingfisher,left,less
trial_experimental,1,building,house,left,less
trial_experimental,1,beauty product,hairspray,left,less
trial_experimental,1,cocktail,drink,right,less
trial_experimental,1,brie,cheese,right,less
trial_experimental,1,storm,violent weather,right,less
trial_experimental,1,mammal,spiky mammal,left,less
trial_experimental,1,vehicle,horse-drawn vehicle,left,less
trial_experimental,1,dog,guide dog,left,less
trial_experimental,1,fish,flounder,left,less
trial_experimental,1,male,young male,left,less
trial_experimental,1,trowel,tool,right,less
trial_experimental,1,fruit,thorny fruit,left,less
trial_experimental,1,storm,weather,right,less
trial_experimental,1,durian,fruit,right,less
trial_experimental,1,skewered meat,kebab,left,less
trial_experimental,1,leafy vegetable,lettuce,left,less
trial_experimental,1,expensive boat,yacht,left,less
trial_experimental,1,digging tool,tool,right,less
trial_experimental,1,meal,light meal,left,less
trial_experimental,1,fruit,fuzzy fruit,left,less
trial_experimental,1,vegetable,leafy vegetable,left,less
trial_experimental,1,waddling bird,bird,right,less
trial_experimental,1,cat,black cat,left,less
trial_experimental,1,head sculpture,sculpture,right,less
trial_experimental,1,bedding,blanket,left,less
trial_experimental,1,vehicle,underwater vehicle,left,less
trial_experimental,1,kiwi,fruit,right,less
trial_experimental,1,dish,sushi,left,less
trial_experimental,1,rain boots,boots,right,less
trial_experimental,1,owl,nocturnal bird,right,less
trial_experimental,1,agricultural vehicle,tractor,left,less
trial_experimental,1,cook,chef,left,less
trial_experimental,1,computer,laptop,left,less
trial_experimental,1,mansion,large house,right,less
trial_experimental,1,swan,graceful bird,right,less
trial_experimental,1,transport,public transport,left,less
trial_experimental,1,diplomat,senior diplomat,left,less
trial_experimental,1,jacket,garment,right,less
trial_experimental,1,solitary person,hermit,left,less
trial_experimental,1,hospital,building,right,less
trial_experimental,1,frog,hopping amphibian,right,less
trial_experimental,1,building,farm building,left,less
trial_experimental,1,lorry,vehicle,right,less
trial_experimental,1,sound,melodic sound,left,less
trial_experimental,1,ringed planet,Saturn,left,less
trial_experimental,1,mammal,nocturnal mammal,left,less
trial_experimental,1,tiger,cat,right,less
trial_experimental,1,pumpkin,vegetable,right,less
trial_experimental,1,solo,operatic solo,left,less
trial_experimental,1,amphibian,hopping amphibian,left,less
trial_experimental,1,tiny dog,dog,right,less
trial_experimental,1,cat,hairless cat,left,less
