display,randomise_trials,option1,option2,correct_answer,condition_choose
instructions_practice,,,,,more
trial_practice,0,white pigeon,pigeon,left,more
trial_practice,0,bird,crow,right,more
trial_practice,0,elegant bird,swan,right,more
trial_practice,0,van,car,left,more
trial_practice,0,vehicle,Audi,right,more
trial_practice,0,Toyota,automobile,left,more
trial_practice,0,plant,cactus,right,more
trial_practice,0,lily,flower,left,more
trial_practice,0,palm,tree,left,more
repeat_practice,,,,,more
instructions_experimental,,,,,more
trial_experimental,1,cardinal,bird,left,more
trial_experimental,1,transport,public transport,right,more
trial_experimental,1,mammal,giraffe,left,more
trial_experimental,1,calling device,phone,left,more
trial_experimental,1,amphibian,hopping amphibian,right,more
trial_experimental,1,ruby,red gem,right,more
trial_experimental,1,fish,flounder,right,more
trial_experimental,1,tiny dog,dog,right,more
trial_experimental,1,yellow fruit,fruit,right,more
trial_experimental,1,planet,Saturn,left,more
trial_experimental,1,violin,instrument,left,more
trial_experimental,1,school,teaching institution,left,more
trial_experimental,1,device,phone,right,more
trial_experimental,1,snacks,potato snacks,right,more
trial_experimental,1,snacks,crisps,right,more
trial_experimental,1,pumpkin,orange vegetable,right,more
trial_experimental,1,tropical tree,palm,right,more
trial_experimental,1,grasping instrument,forceps,left,more
trial_experimental,1,horse,striped horse,right,more
trial_experimental,1,calling device,device,left,more
trial_experimental,1,ringed planet,planet,left,more
trial_experimental,1,cat,cheetah,right,more
trial_experimental,1,predator,shark,right,more
trial_experimental,1,kiwi,fruit,right,more
trial_experimental,1,green gem,gem,left,more
trial_experimental,1,jumper,clothing,right,more
trial_experimental,1,large poultry,turkey,right,more
trial_experimental,1,hospital,medical building,right,more
trial_experimental,1,meal,light meal,left,more
trial_experimental,1,medical vehicle,vehicle,right,more
trial_experimental,1,carrot,orange vegetable,left,more
trial_experimental,1,cocktail,drink,right,more
trial_experimental,1,crime,petty crime,right,more
trial_experimental,1,ointment,topical cream,left,more
trial_experimental,1,python,snake,right,more
trial_experimental,1,computer,laptop,left,more
trial_experimental,1,leafy vegetable,lettuce,left,more
trial_experimental,1,dog,wrinkly dog,right,more
trial_experimental,1,tall mammal,giraffe,right,more
trial_experimental,1,wooden building,building,right,more
trial_experimental,1,vehicle,chariot,left,more
trial_experimental,1,head sculpture,sculpture,left,more
trial_experimental,1,church,religious building,right,more
trial_experimental,1,helmet,hat,right,more
trial_experimental,1,pug,dog,left,more
trial_experimental,1,daffodil,yellow flower,right,more
trial_experimental,1,solo,operatic solo,left,more
trial_experimental,1,seat,stool,left,more
trial_experimental,1,solitary person,hermit,right,more
trial_experimental,1,tortoise,reptile,left,more
trial_experimental,1,snake,large snake,right,more
trial_experimental,1,wooden shoe,clogs,right,more
trial_experimental,1,spade,tool,right,more
trial_experimental,1,diving bird,kingfisher,left,more
trial_experimental,1,building,church,left,more
trial_experimental,1,vehicle,armoured vehicle,right,more
trial_experimental,1,gardening tool,tool,right,more
trial_experimental,1,large bird,ostrich,left,more
trial_experimental,1,stringed instrument,instrument,right,more
trial_experimental,1,stick,frozen stick,right,more
trial_experimental,1,cat,sphynx,left,more
trial_experimental,1,hospital,building,left,more
trial_experimental,1,pearl,lustrous sphere,left,more
trial_experimental,1,carrot,vegetable,right,more
trial_experimental,1,pearl,sphere,right,more
trial_experimental,1,corn,kernelled vegetable,right,more
trial_experimental,1,tank,armoured vehicle,right,more
trial_experimental,1,naval rank,admiral,right,more
trial_experimental,1,cunning plan,ploy,left,more
trial_experimental,1,diplomat,ambassador,right,more
trial_experimental,1,male,boy,right,more
trial_experimental,1,tomato sauce,sauce,left,more
trial_experimental,1,bat,nocturnal mammal,left,more
trial_experimental,1,bird,owl,left,more
trial_experimental,1,meal,snack,right,more
trial_experimental,1,hairless cat,sphynx,right,more
trial_experimental,1,product,beauty product,left,more
trial_experimental,1,sapphire,blue gem,left,more
trial_experimental,1,male,young male,right,more
trial_experimental,1,wine,champagne,right,more
trial_experimental,1,sloth,animal,left,more
trial_experimental,1,building,house,left,more
trial_experimental,1,shark,marine predator,left,more
trial_experimental,1,smoky liquor,liquor,left,more
trial_experimental,1,orange vegetable,vegetable,left,more
trial_experimental,1,red bird,bird,right,more
