display,randomise_trials,option1,option2,correct_answer,condition_choose
instructions_practice,,,,,specific
trial_practice,0,white pigeon,pigeon,left,specific
trial_practice,0,bird,crow,right,specific
trial_practice,0,elegant bird,swan,right,specific
trial_practice,0,van,car,left,specific
trial_practice,0,vehicle,Audi,right,specific
trial_practice,0,Toyota,automobile,left,specific
trial_practice,0,plant,cactus,right,specific
trial_practice,0,lily,flower,left,specific
trial_practice,0,palm,tree,left,specific
repeat_practice,,,,,specific
instructions_experimental,,,,,specific
trial_experimental,1,cardinal,bird,left,specific
trial_experimental,1,transport,public transport,right,specific
trial_experimental,1,mammal,giraffe,left,specific
trial_experimental,1,calling device,phone,left,specific
trial_experimental,1,amphibian,hopping amphibian,right,specific
trial_experimental,1,ruby,red gem,right,specific
trial_experimental,1,fish,flounder,right,specific
trial_experimental,1,tiny dog,dog,right,specific
trial_experimental,1,yellow fruit,fruit,right,specific
trial_experimental,1,planet,Saturn,left,specific
trial_experimental,1,violin,instrument,left,specific
trial_experimental,1,school,teaching institution,left,specific
trial_experimental,1,device,phone,right,specific
trial_experimental,1,snacks,potato snacks,right,specific
trial_experimental,1,snacks,crisps,right,specific
trial_experimental,1,pumpkin,orange vegetable,right,specific
trial_experimental,1,tropical tree,palm,right,specific
trial_experimental,1,grasping instrument,forceps,left,specific
trial_experimental,1,horse,striped horse,right,specific
trial_experimental,1,calling device,device,left,specific
trial_experimental,1,ringed planet,planet,left,specific
trial_experimental,1,cat,cheetah,right,specific
trial_experimental,1,predator,shark,right,specific
trial_experimental,1,kiwi,fruit,right,specific
trial_experimental,1,green gem,gem,left,specific
trial_experimental,1,jumper,clothing,right,specific
trial_experimental,1,large poultry,turkey,right,specific
trial_experimental,1,hospital,medical building,right,specific
trial_experimental,1,meal,light meal,left,specific
trial_experimental,1,medical vehicle,vehicle,right,specific
trial_experimental,1,carrot,orange vegetable,left,specific
trial_experimental,1,cocktail,drink,right,specific
trial_experimental,1,crime,petty crime,right,specific
trial_experimental,1,ointment,topical cream,left,specific
trial_experimental,1,python,snake,right,specific
trial_experimental,1,computer,laptop,left,specific
trial_experimental,1,leafy vegetable,lettuce,left,specific
trial_experimental,1,dog,wrinkly dog,right,specific
trial_experimental,1,tall mammal,giraffe,right,specific
trial_experimental,1,wooden building,building,right,specific
trial_experimental,1,vehicle,chariot,left,specific
trial_experimental,1,head sculpture,sculpture,left,specific
trial_experimental,1,church,religious building,right,specific
trial_experimental,1,helmet,hat,right,specific
trial_experimental,1,pug,dog,left,specific
trial_experimental,1,daffodil,yellow flower,right,specific
trial_experimental,1,solo,operatic solo,left,specific
trial_experimental,1,seat,stool,left,specific
trial_experimental,1,solitary person,hermit,right,specific
trial_experimental,1,tortoise,reptile,left,specific
trial_experimental,1,snake,large snake,right,specific
trial_experimental,1,wooden shoe,clogs,right,specific
trial_experimental,1,spade,tool,right,specific
trial_experimental,1,diving bird,kingfisher,left,specific
trial_experimental,1,building,church,left,specific
trial_experimental,1,vehicle,armoured vehicle,right,specific
trial_experimental,1,gardening tool,tool,right,specific
trial_experimental,1,large bird,ostrich,left,specific
trial_experimental,1,stringed instrument,instrument,right,specific
trial_experimental,1,stick,frozen stick,right,specific
trial_experimental,1,cat,sphynx,left,specific
trial_experimental,1,hospital,building,left,specific
trial_experimental,1,pearl,lustrous sphere,left,specific
trial_experimental,1,carrot,vegetable,right,specific
trial_experimental,1,pearl,sphere,right,specific
trial_experimental,1,corn,kernelled vegetable,right,specific
trial_experimental,1,tank,armoured vehicle,right,specific
