item_nr,set_nr,specificity,option1,option2,answer
1,1,"['mid', 'high']",hopping animal,kangaroo,right
2,1,"['low', 'high']",animal,kangaroo,right
3,1,"['mid', 'low']",hopping animal,animal,left
4,2,"['high', 'mid']",snail,slow animal,left
5,2,"['low', 'mid']",animal,slow animal,right
6,2,"['low', 'high']",animal,snail,right
7,3,"['low', 'high']",bird,cardinal,right
8,3,"['high', 'mid']",cardinal,red bird,left
9,3,"['low', 'mid']",bird,red bird,right
10,4,"['mid', 'low']",fishing bird,bird,left
11,4,"['high', 'low']",kingfisher,bird,left
12,4,"['mid', 'high']",fishing bird,kingfisher,right
13,5,"['low', 'high']",bird,ostrich,right
14,5,"['high', 'mid']",ostrich,big bird,left
15,5,"['low', 'mid']",bird,big bird,right
16,6,"['high', 'mid']",ostrich,large bird,left
17,6,"['low', 'mid']",bird,large bird,right
18,6,"['high', 'low']",ostrich,bird,left
19,7,"['mid', 'low']",nocturnal bird,bird,left
20,7,"['high', 'mid']",owl,nocturnal bird,left
21,7,"['high', 'low']",owl,bird,left
22,8,"['mid', 'low']",flightless bird,bird,left
23,8,"['high', 'mid']",penguin,flightless bird,left
24,8,"['high', 'low']",penguin,bird,left
25,9,"['low', 'high']",bird,robin,right
26,9,"['mid', 'high']",small bird,robin,right
27,9,"['mid', 'low']",small bird,bird,left
28,10,"['high', 'low']",swan,bird,left
29,10,"['low', 'mid']",bird,white bird,right
30,10,"['high', 'mid']",swan,white bird,left
31,11,"['high', 'low']",yacht,boat,left
32,11,"['mid', 'low']",expensive boat,boat,left
33,11,"['mid', 'high']",expensive boat,yacht,right
34,12,"['mid', 'low']",poetry book,book,left
35,12,"['low', 'high']",book,anthology,right
36,12,"['mid', 'high']",poetry book,anthology,right
37,13,"['mid', 'high']",rain boots,wellies,right
38,13,"['mid', 'low']",rain boots,boots,left
39,13,"['high', 'low']",wellies,boots,left
40,14,"['mid', 'high']",ring-shaped bread,bagel,right
41,14,"['mid', 'low']",ring-shaped bread,bread,left
42,14,"['low', 'high']",bread,bagel,right
43,15,"['mid', 'high']",french bread,baguette,right
44,15,"['mid', 'low']",french bread,bread,left
45,15,"['low', 'high']",bread,baguette,right
46,16,"['mid', 'low']",farm building,building,left
47,16,"['mid', 'high']",farm building,barn,right
48,16,"['high', 'low']",barn,building,left
49,17,"['high', 'mid']",church,religious building,left
50,17,"['high', 'low']",church,building,left
51,17,"['mid', 'low']",religious building,building,left
52,18,"['mid', 'low']",industrial building,building,left
53,18,"['high', 'low']",factory,building,left
54,18,"['mid', 'high']",industrial building,factory,right
55,19,"['mid', 'high']",medical building,hospital,right
56,19,"['high', 'low']",hospital,building,left
57,19,"['mid', 'low']",medical building,building,left
58,20,"['high', 'mid']",house,residential building,left
59,20,"['high', 'low']",house,building,left
60,20,"['mid', 'low']",residential building,building,left
61,21,"['mid', 'high']",wooden buildings,cabins,right
62,21,"['low', 'high']",buildings,cabins,right
63,21,"['low', 'mid']",buildings,wooden buildings,right
64,22,"['low', 'high']",car,bmw,right
65,22,"['mid', 'high']",expensive car,bmw,right
66,22,"['low', 'mid']",car,expensive car,right
67,23,"['low', 'mid']",car,long car,right
68,23,"['high', 'mid']",limousine,long car,left
69,23,"['high', 'low']",limousine,car,left
70,24,"['mid', 'low']",fast cat,cat,left
71,24,"['low', 'high']",cat,cheetah,right
72,24,"['mid', 'high']",fast cat,cheetah,right
73,25,"['high', 'low']",panther,cat,left
74,25,"['mid', 'low']",large cat,cat,left
75,25,"['mid', 'high']",large cat,panther,right
76,26,"['high', 'low']",sphynx,cat,left
77,26,"['mid', 'low']",hairless cat,cat,left
78,26,"['high', 'mid']",sphynx,hairless cat,left
79,27,"['low', 'high']",cat,tiger,right
80,27,"['low', 'mid']",cat,striped cat,right
81,27,"['mid', 'high']",striped cat,tiger,right
82,28,"['high', 'mid']",stools,small chairs,left
83,28,"['low', 'mid']",chairs,small chairs,right
84,28,"['low', 'high']",chairs,stools,right
