"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
1,"Abstract","A1","superb",4.383175501,"adjective",6,10,1.62
1,"Concrete","A1","marine",4.196931968,"adjective",6,9.8,4.25
2,"Abstract","A1","coefficient",1.951008231,"noun",11,13.42,1.85
2,"Concrete","A1","gingivitis",1.774916972,"noun",10,12.33,4.03
3,"Abstract","A2","unkindness",1.809679079,"noun",10,7.68,1.96
3,"Concrete","A2","sugarcane",1.737128411,"noun",9,7.63,4.89
4,"Abstract","A2","anger",4.303726585,"noun",5,6,2.41
4,"Concrete","A2","costume",4.171842443,"noun",7,4.17,4.57
5,"Abstract","A2","relation",4.276318603,"noun",8,8.11,2.11
5,"Concrete","A2","pirate",4.088080882,"noun",6,6.5,4.64
6,"Abstract","A1","your",6.501198522,"pronoun",4,4.1,2.37
6,"Concrete","A1","me",6.538668694,"pronoun",2,3.28,4.33
7,"Abstract","A2","peacekeeping",2.695735726,"noun",12,8.72,2
7,"Concrete","A2","forefinger",2.443923753,"noun",10,7.26,4.64
8,"Abstract","A1","punchy",3.030189477,"adjective",6,13.18,2.21
8,"Concrete","A1","pygmy",3.149054066,"adjective",5,12.77,4.29
9,"Abstract","A2","minimum",4.388494544,"noun",7,8.11,2.25
9,"Concrete","A2","crystal",4.162751545,"noun",7,7.78,4.58
10,"Abstract","A1","unrelated",2.981293035,"adjective",9,9.65,1.74
10,"Concrete","A1","acrylic",2.785640838,"adjective",7,11.56,4.31
11,"Abstract","A2","anxiety",3.89958419,"noun",7,8.17,2.21
11,"Concrete","A2","pedal",3.634755503,"noun",5,6.5,4.44
12,"Abstract","A1","aware",4.809846083,"adjective",5,6.75,2
12,"Concrete","A1","flat",4.993408713,"adjective",4,5.68,4.07
13,"Abstract","A1","gist",2.974489327,"noun",4,11.3,1.81
13,"Concrete","A1","rook",2.888860325,"noun",4,11.59,4.38
14,"Abstract","A2","misuse",3.281196456,"noun",6,9.68,2.07
14,"Concrete","A2","mink",3.128705017,"noun",4,10.32,4.58
15,"Abstract","A1","physicality",3.128705017,"noun",11,13.81,2.48
15,"Concrete","A1","transmitter",3.202240759,"noun",11,11.89,4.37
16,"Abstract","A1","differentiation",2.576549318,"noun",15,12.76,2.16
16,"Concrete","A1","cinematographer",2.339188403,"noun",15,13.53,4.32
17,"Abstract","A1","proxy",3.047918244,"noun",5,14.88,2.07
17,"Concrete","A1","chalet",3.233554821,"noun",6,13.8,4.36
18,"Abstract","A1","guile",2.659523554,"noun",5,13.25,1.88
18,"Concrete","A1","hooch",2.451610582,"noun",5,13.06,4.22
19,"Abstract","A2","capability",3.740275487,"noun",10,9.4,1.93
19,"Concrete","A2","cylinder",3.518557371,"noun",8,9.63,4.64
20,"Abstract","A1","nimble",3.153617623,"adjective",6,8.61,2.34
20,"Concrete","A1","canine",3.378782764,"adjective",6,8.45,4.71
21,"Abstract","A1","myth",3.948588757,"noun",4,8.61,2.17
21,"Concrete","A1","chorus",3.839374961,"noun",6,7.5,4.03
22,"Abstract","A1","adverb",2.017955021,"noun",6,8.14,2.25
22,"Concrete","A1","beanpole",1.974489327,"noun",8,7,4.79
23,"Abstract","A1","reinvestment",2.239803771,"noun",12,14.7,2.08
23,"Concrete","A1","neuroscientist",2.367833584,"noun",14,14.11,4
24,"Abstract","A2","prude",2.481065561,"noun",5,12.11,2.39
24,"Concrete","A2","zit",2.45916372,"noun",3,10.89,4.85
25,"Abstract","A2","stardom",3.138215495,"noun",7,10.06,2.26
25,"Concrete","A2","retina",2.962907455,"noun",6,10.76,4.46
26,"Abstract","A2","agony",3.753781957,"noun",5,9.22,2.38
26,"Concrete","A2","locker",3.600991775,"noun",6,8.22,4.67
27,"Abstract","A1","reference",4.095582439,"noun",9,8.67,2.38
27,"Concrete","A1","trolley",3.819913782,"noun",7,8.47,4.73
28,"Abstract","A2","bummer",2.774916972,"noun",6,7.3,1.97
28,"Concrete","A2","redhead",2.851071764,"noun",7,5.79,4.78
29,"Abstract","A1","creative",4.334923286,"adjective",8,8.74,1.93
29,"Concrete","A1","polish",4.17660465,"adjective",6,8.06,4.23
30,"Abstract","A2","recount",2.91321967,"noun",7,8.84,2.26
30,"Concrete","A2","comma",2.813007022,"noun",5,7.47,4.65
31,"Abstract","A2","confession",3.610078883,"noun",10,8.55,2.4
31,"Concrete","A2","earnings",3.828635496,"noun",8,8.06,4.39
32,"Abstract","A1","subdue",2.593362817,"verb",6,11.17,2.24
32,"Concrete","A1","bronzed",2.686961802,"verb",7,10,4.07
33,"Abstract","A1","precursor",2.838750526,"noun",9,12.42,2.14
33,"Concrete","A1","yachting",2.741058705,"noun",8,11.53,4.04
34,"Abstract","A2","insignificance",2.593362817,"noun",14,10.72,1.73
34,"Concrete","A2","percussionist",2.45916372,"noun",13,9.5,4.04
35,"Abstract","A2","actuality",2.172856981,"noun",9,12.38,1.96
35,"Concrete","A2","yearbook",2.18709742,"noun",8,10.39,4.58
36,"Abstract","A2","nastiness",2.57079699,"noun",9,8.05,2.24
36,"Concrete","A2","buckwheat",2.297795718,"noun",9,8.69,4.54
37,"Abstract","A2","bonkers",3.746888249,"noun",7,8.28,1.76
37,"Concrete","A2","comet",3.570217544,"noun",5,8.16,4.67
38,"Abstract","A2","putdown",1.473886977,"noun",7,9.5,2.04
38,"Concrete","A2","copier",1.737128411,"noun",6,8.17,4.72
39,"Abstract","A2","recognition",4.033992956,"noun",11,9.5,2.39
39,"Concrete","A2","photographer",3.987104577,"noun",12,7.74,4.76
40,"Abstract","A2","setback",3.51396162,"noun",7,10.4,1.97
40,"Concrete","A2","furnace",3.345070585,"noun",7,10.6,4.69
41,"Abstract","A1","saintly",2.625154652,"adjective",7,10.06,1.75
41,"Concrete","A1","chive",2.708572951,"adjective",5,11.07,4.81
42,"Abstract","A2","loss",4.66932535,"noun",4,5,2.19
42,"Concrete","A2","toy",4.393662171,"noun",3,3,4.93
43,"Abstract","A2","whammy",3.156633569,"noun",6,9.11,2.16
43,"Concrete","A2","fowl",3.432132228,"noun",4,7.89,4.64
44,"Abstract","A2","wellness",2.26393745,"noun",8,10.05,2
44,"Concrete","A2","roadblock",2.553068223,"noun",9,9.28,4.71
45,"Abstract","A1","visceral",2.998931784,"adjective",8,15.45,2.36
45,"Concrete","A1","android",3.222075004,"adjective",7,13.89,4.22
46,"Abstract","A2","attraction",3.989981442,"noun",10,9.61,2.24
46,"Concrete","A2","workshop",4.008970018,"noun",8,7.78,4.54
47,"Abstract","A1","ranking",3.662346713,"adjective",7,9.28,2.43
47,"Concrete","A1","asteroid",3.368756633,"adjective",8,8.6,4.86
48,"Abstract","A1","confront",3.688730825,"verb",8,9.89,2.43
48,"Concrete","A1","fencing",3.651904157,"verb",7,10.94,4.45
49,"Abstract","A1","receivable",1.172856981,"noun",10,10.28,2.34
49,"Concrete","A1","sundress",1.297795718,"noun",8,9.32,4.67
50,"Abstract","A2","manners",3.771647488,"noun",7,5.89,2.17
50,"Concrete","A2","collar",3.977450696,"noun",6,6.56,4.64
51,"Abstract","A2","thrilling",3.679362013,"noun",9,8.47,2.07
51,"Concrete","A2","sweeper",3.512639566,"noun",7,8.22,4.31
52,"Abstract","A2","elitism",2.339188403,"noun",7,13.87,1.75
52,"Concrete","A2","lesion",2.158133724,"noun",6,12.82,4.38
53,"Abstract","A2","honesty",3.832456293,"noun",7,5,1.59
53,"Concrete","A2","indoors",3.878150379,"noun",7,4.64,4.17
54,"Abstract","A1","boastful",2.26393745,"adjective",8,9,2.48
54,"Concrete","A1","mucous",2.275519323,"adjective",6,10.35,4.17
55,"Abstract","A2","nonbeliever",1.172856981,"noun",11,7.89,2.1
55,"Concrete","A2","dogcatcher",1.172856981,"noun",10,6.05,4.35
56,"Abstract","A2","heritage",4.349141217,"noun",8,9.79,2.34
56,"Concrete","A2","gallery",4.279727525,"noun",7,8.68,4.44
57,"Abstract","A1","retain",3.904982575,"verb",6,11.32,2.32
57,"Concrete","A1","mince",3.781739432,"verb",5,11.11,4
58,"Abstract","A2","topnotch",1.172856981,"noun",8,9.71,2.1
58,"Concrete","A2","typeset",1.172856981,"noun",7,11.13,4.14
59,"Abstract","A2","relief",4.643757259,"noun",6,7.79,2.45
