,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
0,pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97,subsective,old,old pedal
1,pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97,privative,imaginary,imaginary pedal
2,pedal,1,concrete,3.634755503,noun,5,6.5,4.44,0.97,baseline,tqvgqrz,tqvgqrz pedal
3,anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03,subsective,special,special anxiety
4,anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03,privative,past,past anxiety
5,anxiety,1,abstract,3.89958419,noun,7,8.17,2.21,1.03,baseline,vpbyzkgrf,vpbyzkgrf anxiety
6,rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1,subsective,special,special rook
7,rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1,privative,past,past rook
8,rook,2,concrete,2.888860325,noun,4,11.59,4.38,1.1,baseline,wvcnz,wvcnz rook
9,gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02,subsective,true,true gist
10,gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02,privative,phony,phony gist
11,gist,2,abstract,2.974489327,noun,4,11.3,1.81,1.02,baseline,tqvgqrz,tqvgqrz gist
12,mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99,subsective,average,average mink
13,mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99,privative,fabricated,fabricated mink
14,mink,3,concrete,3.128705017,noun,4,10.32,4.58,0.99,baseline,vpbyzkgrf,vpbyzkgrf mink
15,misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17,subsective,important,important misuse
16,misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17,privative,former,former misuse
17,misuse,3,abstract,3.281196456,noun,6,9.68,2.07,1.17,baseline,rjdnw,rjdnw misuse
18,chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19,subsective,current,current chalet
19,chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19,privative,false,false chalet
20,chalet,4,concrete,3.233554821,noun,6,13.8,4.36,1.19,baseline,qxsw,qxsw chalet
21,proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18,subsective,important,important proxy
22,proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18,privative,former,former proxy
23,proxy,4,abstract,3.047918244,noun,5,14.88,2.07,1.18,baseline,bxfjwts,bxfjwts proxy
24,zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6,subsective,special,special zit
25,zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6,privative,past,past zit
26,zit,5,concrete,2.45916372,noun,3,10.89,4.85,0.6,baseline,ptrgsbkv,ptrgsbkv zit
27,prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13,subsective,new,new prude
28,prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13,privative,hypothetical,hypothetical prude
29,prude,5,abstract,2.481065561,noun,5,12.11,2.39,1.13,baseline,vpbyzkgrf,vpbyzkgrf prude
30,retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79,subsective,actual,actual retina
31,retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79,privative,artificial,artificial retina
32,retina,6,concrete,2.962907455,noun,6,10.76,4.46,0.79,baseline,rvqf,rvqf retina
33,stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16,subsective,unique,unique stardom
34,stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16,privative,virtual,virtual stardom
35,stardom,6,abstract,3.138215495,noun,7,10.06,2.26,1.16,baseline,fxldmr,fxldmr stardom
36,furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85,subsective,unique,unique furnace
37,furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85,privative,virtual,virtual furnace
38,furnace,7,concrete,3.345070585,noun,7,10.6,4.69,0.85,baseline,htbqzylm,htbqzylm furnace
39,setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13,subsective,unique,unique setback
40,setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13,privative,virtual,virtual setback
41,setback,7,abstract,3.51396162,noun,7,10.4,1.97,1.13,baseline,kmlsdjtw,kmlsdjtw setback
42,lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01,subsective,important,important lesion
43,lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01,privative,former,former lesion
44,lesion,8,concrete,2.158133724,noun,6,12.82,4.38,1.01,baseline,xkq,xkq lesion
45,elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94,subsective,average,average elitism
46,elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94,privative,fabricated,fabricated elitism
47,elitism,8,abstract,2.339188403,noun,7,13.87,1.75,0.94,baseline,rjdnw,rjdnw elitism
48,indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05,subsective,true,true indoors
49,indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05,privative,phony,phony indoors
50,indoors,9,concrete,3.878150379,noun,7,4.64,4.17,1.05,baseline,htbqzylm,htbqzylm indoors
51,honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02,subsective,genuine,genuine honesty
52,honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02,privative,fictional,fictional honesty
53,honesty,9,abstract,3.832456293,noun,7,5.0,1.59,1.02,baseline,rvqf,rvqf honesty
54,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,subsective,average,average scab
55,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,privative,fabricated,fabricated scab
56,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,baseline,qxsw,qxsw scab
57,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,subsective,good,good unease
58,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,privative,fictitious,fictitious unease
59,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,baseline,ptrgsbkv,ptrgsbkv unease
60,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,subsective,actual,actual dye
